model_label,count,original_label,class_name,fraction
0,24301,0,Normal,0.15399873257287705
1,1214,1,MITM,0.007693282636248416
2,1001,2,Fingerprinting,0.0063434727503168566
3,10925,3,Ransomware,0.06923320659062104
4,10269,4,Uploading,0.06507604562737643
5,10311,5,SQL_injection,0.06534220532319392
6,10561,6,DDoS_HTTP,0.06692648922686946
7,10247,7,DDoS_TCP,0.06493662864385298
8,9989,8,Password,0.06330164765525982
9,10071,9,Port_Scanning,0.0638212927756654
10,10076,10,Vulnerability_scanner,0.06385297845373891
11,10195,11,Backdoor,0.06460709759188847
12,10052,12,XSS,0.06370088719898606
13,14498,13,DDoS_UDP,0.09187579214195184
14,14090,14,DDoS_ICMP,0.08929024081115336
