,Normal,MITM,Fingerprinting,Ransomware,Uploading,SQL_injection,DDoS_HTTP,DDoS_TCP,Password,Port_Scanning,Vulnerability_scanner,Backdoor,XSS,DDoS_UDP,DDoS_ICMP
Normal,0.9989712357516152,4.11505699353936e-05,0.0,0.00045265626928932967,0.0,0.0,4.11505699353936e-05,4.11505699353936e-05,0.0,0.0,0.0,0.00041150569935393603,0.0,4.11505699353936e-05,0.0
MITM,0.0,0.999176276771005,0.0,0.0,0.0,0.0,0.0008237232289950577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fingerprinting,0.0,0.0,0.965034965034965,0.000999000999000999,0.0,0.0,0.0,0.0,0.0,0.03396603396603397,0.0,0.0,0.0,0.0,0.0
Ransomware,0.0005491990846681923,0.0,0.0,0.9994508009153318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uploading,0.0,9.738046547862498e-05,0.0,0.00019476093095724997,0.9997078586035641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQL_injection,0.0,0.0,0.0,0.0,9.69838037047813e-05,0.9997090485888857,0.0,0.0,0.0,0.0,0.0,0.0,0.0001939676074095626,0.0,0.0
DDoS_HTTP,9.46880030300161e-05,0.0,0.0,0.0,0.0,0.0001893760060600322,0.99962124798788,0.0,0.0,0.0,0.0,0.0,9.46880030300161e-05,0.0,0.0
DDoS_TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Password,0.00010011012113324657,0.0,0.0,0.0,0.00020022024226649314,0.00020022024226649314,0.00030033036339973974,0.0,0.9984983481830013,0.0,0.00010011012113324657,0.0004004404845329863,0.00020022024226649314,0.0,0.0
Port_Scanning,0.0001985900109224506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998014099890775,0.0,0.0,0.0,0.0,0.0
Vulnerability_scanner,9.924573243350536e-05,9.924573243350536e-05,0.0,9.924573243350536e-05,0.0001984914648670107,9.924573243350536e-05,9.924573243350536e-05,0.0,9.924573243350536e-05,0.0,0.9987098054783644,0.0,0.0004962286621675268,0.0,0.0
Backdoor,0.0004904364884747426,0.0,0.0,0.005885237861696911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934281510544385,0.00019617459538989702,0.0,0.0
XSS,0.00019896538002387584,0.0,0.0,0.0,0.0,0.0,9.948269001193792e-05,0.0,9.948269001193792e-05,0.0,0.0,0.00019896538002387584,0.9994031038599284,0.0,0.0
DDoS_UDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DDoS_ICMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
