fold,training_seed,validation_split_seed,n_fit,n_validation,n_test,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,auc_macro_ovr,auc_weighted_ovr,train_runtime_s,test_runtime_s,test_samples_per_second,best_validation_loss,best_epoch
1,42,43,127818,14202,15780,0.9996197718631179,0.9998017757277017,0.9996206585214885,0.9996197718631179,0.9996198635334621,0.9996507986335925,0.9998017757277017,0.9997259866921197,0.9999867893485214,0.9999829772086746,5438.3215,125.0959,126.14322291937626,0.005176436621695757,3.0
2,42,44,127818,14202,15780,0.9996197718631179,0.9997568389725252,0.9996208646921395,0.9996197718631179,0.9996198777098676,0.9996323575545422,0.9997568389725252,0.9996942090391439,0.9999587831835701,0.9999602396320224,5435.0575,126.6482,124.59711231584815,0.0016837981529533863,3.0
3,42,45,127818,14202,15780,0.9961977186311787,0.9865427666685661,0.996253889420195,0.9961977186311787,0.99615724489588,0.9965102205372253,0.9865427666685661,0.9910381085592213,0.99993600622817,0.9999617907453154,5438.286,126.2343,125.00564426625726,0.05576615780591965,3.0
4,42,46,127818,14202,15780,0.9998732572877059,0.9998682413903659,0.9998732572877059,0.9998732572877059,0.9998732572877059,0.9998682413903659,0.9998682413903659,0.9998682413903659,0.9999819043185405,0.999982507807878,5436.2117,126.4327,124.80948362251222,0.008694635704159737,3.0
5,42,47,127818,14202,15780,0.9955640050697085,0.9847642351803156,0.9956537236737678,0.9955640050697085,0.9955115159524643,0.9943785412840833,0.9847642351803156,0.9889396632238195,0.9999065880495441,0.9999301915721647,5434.3529,125.548,125.68897951381145,0.055771078914403915,3.0
6,42,48,127818,14202,15780,0.9993029150823828,0.9987868593973831,0.9993039102410164,0.9993029150823828,0.999302795375285,0.9993746726104574,0.9987868593973831,0.9990786348337313,0.9996034721522151,0.9999079582519241,5439.3334,125.4005,125.8368188324608,0.00760143855586648,3.0
7,42,49,127818,14202,15780,0.9998732572877059,0.9999058317576835,0.999873380235081,0.9998732572877059,0.9998732656518067,0.9998706593613971,0.9999058317576835,0.999888194626737,0.9999848012707477,0.9999709484511043,5438.8589,125.7323,125.50474301352955,0.008421911858022213,3.0
8,42,50,127818,14202,15780,0.9996831432192649,0.9997861327521679,0.9996837900326755,0.9996831432192649,0.9996832151229227,0.999684515795756,0.9997861327521679,0.9997351081547247,0.9999930976286056,0.9999929853967353,5437.1158,125.6279,125.60904066692193,0.007905617356300354,3.0
9,42,51,127818,14202,15780,0.9996831432192649,0.9997464545136961,0.9996834106912492,0.9996831432192649,0.9996831656416214,0.9997191578081526,0.9997464545136961,0.9997326988362559,0.9999834408772886,0.9999807612634669,5434.0641,125.6753,125.56166565745218,0.0030877357348799706,3.0
10,42,52,127818,14202,15780,0.9991761723700887,0.9988094552224963,0.9991774436316048,0.9991761723700887,0.9991761113883013,0.9992755342705706,0.9988094552224963,0.9990407721929357,0.9994394891877598,0.9999161963293599,5433.9926,125.9034,125.33418477975971,0.0050457315519452095,3.0
