metric,n_folds,mean,std,sem,ci95_low,ci95_high,min,max
accuracy,10,0.9988593155893536,0.0015920104504788066,0.0005034379082303728,0.997720459919198,0.9999981712595092,0.9955640050697085,0.9998732572877059
balanced_accuracy,10,0.9967768591582902,0.005892208314198319,0.001863279872104773,0.9925618272492065,1.0009918910673739,0.9847642351803156,0.9999058317576835
precision_weighted,10,0.9988744328426925,0.0015611799458020716,0.0004936884466112772,0.9977576319869725,0.9999912336984125,0.9956537236737678,0.999873380235081
recall_weighted,10,0.9988593155893536,0.0015920104504788066,0.0005034379082303728,0.997720459919198,0.9999981712595092,0.9955640050697085,0.9998732572877059
f1_weighted,10,0.9988500312559317,0.0016116147910598616,0.0005096373450565531,0.9976971514853541,1.0000029110265094,0.9955115159524643,0.9998732656518067
precision_macro,10,0.9987964699246141,0.0018463174104467578,0.0005838568300635715,0.9974756940144045,1.0001172458348238,0.9943785412840833,0.9998706593613971
recall_macro,10,0.9967768591582902,0.005892208314198319,0.001863279872104773,0.9925618272492065,1.0009918910673739,0.9847642351803156,0.9999058317576835
f1_macro,10,0.9976741617549054,0.004091460129342858,0.0012938332964490548,0.9947473074958041,1.0006010160140069,0.9889396632238195,0.999888194626737
auc_macro_ovr,10,0.9998774372244963,0.00019343819289652423,6.117052760200202e-05,0.9997390598773258,1.0000158145716667,0.9994394891877598,0.9999930976286056
auc_weighted_ovr,10,0.9999586556658647,3.013732993044136e-05,9.530260517615855e-06,0.999937096718771,0.9999802146129585,0.9999079582519241,0.9999929853967353
train_runtime_s,10,5436.55944,2.0933420022115676,0.6619728648685786,5435.061953342122,5438.056926657878,5433.9926,5439.3334
test_runtime_s,10,125.82985000000001,0.48059722163621166,0.15197818575191832,125.48605145850374,126.17364854149628,125.0959,126.6482
test_samples_per_second,10,125.40908955879294,0.47840767789218197,0.15128579122514768,125.06685732253493,125.75132179505096,124.59711231584815,126.14322291937626
