fold,model_label,class_name,precision,recall,f1,support
1,0,Normal,0.9995877988458368,0.9979423868312757,0.9987644151565074,2430
1,1,MITM,1.0,1.0,1.0,122
1,2,Fingerprinting,1.0,1.0,1.0,100
1,3,Ransomware,0.9990842490842491,0.9990842490842491,0.9990842490842491,1092
1,4,Uploading,1.0,1.0,1.0,1027
1,5,SQL_injection,1.0,1.0,1.0,1031
1,6,DDoS_HTTP,1.0,1.0,1.0,1057
1,7,DDoS_TCP,1.0,1.0,1.0,1024
1,8,Password,1.0,1.0,1.0,999
1,9,Port_Scanning,1.0,1.0,1.0,1007
1,10,Vulnerability_scanner,1.0,1.0,1.0,1008
1,11,Backdoor,0.9960899315738025,1.0,0.9980411361410382,1019
1,12,XSS,1.0,1.0,1.0,1006
1,13,DDoS_UDP,1.0,1.0,1.0,1449
1,14,DDoS_ICMP,1.0,1.0,1.0,1409
