source_row_index,split,fold
0,fit,6
1,fit,6
2,fit,6
3,fit,6
4,fit,6
5,validation,6
6,fit,6
7,fit,6
8,fit,6
9,fit,6
10,fit,6
11,fit,6
12,fit,6
13,validation,6
14,fit,6
15,fit,6
16,fit,6
17,fit,6
18,fit,6
19,validation,6
20,fit,6
21,fit,6
22,validation,6
23,fit,6
24,fit,6
25,fit,6
26,fit,6
27,fit,6
28,fit,6
29,fit,6
30,fit,6
31,fit,6
32,fit,6
33,test,6
34,fit,6
35,fit,6
36,fit,6
37,fit,6
38,fit,6
39,fit,6
40,fit,6
41,fit,6
42,fit,6
43,fit,6
44,test,6
45,test,6
46,fit,6
47,fit,6
48,fit,6
49,fit,6
50,fit,6
51,fit,6
52,fit,6
53,fit,6
54,fit,6
55,fit,6
56,fit,6
57,fit,6
58,fit,6
59,fit,6
60,fit,6
61,validation,6
62,fit,6
63,fit,6
64,fit,6
65,fit,6
66,fit,6
67,fit,6
68,test,6
69,validation,6
70,test,6
71,fit,6
72,fit,6
73,fit,6
74,fit,6
75,fit,6
76,fit,6
77,fit,6
78,fit,6
79,fit,6
80,fit,6
81,validation,6
82,test,6
83,fit,6
84,fit,6
85,fit,6
86,fit,6
87,fit,6
88,fit,6
89,fit,6
90,fit,6
91,fit,6
92,fit,6
93,fit,6
94,test,6
95,fit,6
96,fit,6
97,validation,6
98,fit,6
99,validation,6
100,fit,6
101,fit,6
102,fit,6
103,fit,6
104,fit,6
105,test,6
106,fit,6
107,fit,6
108,fit,6
109,test,6
110,fit,6
111,fit,6
112,fit,6
113,fit,6
114,fit,6
115,fit,6
116,test,6
117,fit,6
118,test,6
119,fit,6
120,validation,6
121,fit,6
122,fit,6
123,fit,6
124,fit,6
125,fit,6
126,fit,6
127,validation,6
128,fit,6
129,test,6
130,fit,6
131,fit,6
132,fit,6
133,fit,6
134,fit,6
135,fit,6
136,fit,6
137,validation,6
138,fit,6
139,fit,6
140,test,6
141,fit,6
142,fit,6
143,fit,6
144,fit,6
145,fit,6
146,fit,6
147,fit,6
148,fit,6
149,fit,6
150,fit,6
151,test,6
152,test,6
153,fit,6
154,test,6
155,fit,6
156,fit,6
157,fit,6
158,fit,6
159,fit,6
160,fit,6
161,fit,6
162,test,6
163,fit,6
164,fit,6
165,fit,6
166,fit,6
167,fit,6
168,fit,6
169,test,6
170,fit,6
171,fit,6
172,fit,6
173,fit,6
174,fit,6
175,fit,6
176,validation,6
177,fit,6
178,fit,6
179,fit,6
180,fit,6
181,fit,6
182,fit,6
183,fit,6
184,fit,6
185,fit,6
186,test,6
187,fit,6
188,fit,6
189,fit,6
190,fit,6
191,fit,6
192,fit,6
193,test,6
194,validation,6
195,fit,6
196,fit,6
197,fit,6
198,test,6
199,fit,6
200,fit,6
201,fit,6
202,fit,6
203,fit,6
204,fit,6
205,fit,6
206,fit,6
207,fit,6
208,fit,6
209,fit,6
210,fit,6
211,fit,6
212,test,6
213,fit,6
214,fit,6
215,fit,6
216,fit,6
217,fit,6
218,fit,6
219,test,6
220,fit,6
221,validation,6
222,fit,6
223,fit,6
224,fit,6
225,test,6
226,fit,6
227,fit,6
228,fit,6
229,fit,6
230,fit,6
231,fit,6
232,fit,6
233,fit,6
234,fit,6
235,fit,6
236,test,6
237,fit,6
238,fit,6
239,fit,6
240,fit,6
241,test,6
242,test,6
243,test,6
244,fit,6
245,test,6
246,fit,6
247,fit,6
248,fit,6
249,fit,6
250,fit,6
251,test,6
252,fit,6
253,fit,6
254,fit,6
255,fit,6
256,fit,6
257,fit,6
258,fit,6
259,fit,6
260,fit,6
261,fit,6
262,validation,6
263,fit,6
264,test,6
265,fit,6
266,fit,6
267,fit,6
268,fit,6
269,fit,6
270,fit,6
271,fit,6
272,fit,6
273,fit,6
274,validation,6
275,fit,6
276,fit,6
277,fit,6
278,fit,6
279,fit,6
280,validation,6
281,fit,6
282,fit,6
283,fit,6
284,fit,6
285,fit,6
286,fit,6
287,fit,6
288,fit,6
289,test,6
290,fit,6
291,fit,6
292,fit,6
293,fit,6
294,validation,6
295,fit,6
296,test,6
297,fit,6
298,test,6
299,validation,6
300,fit,6
301,fit,6
302,fit,6
303,fit,6
304,fit,6
305,fit,6
306,fit,6
307,fit,6
308,validation,6
309,fit,6
310,test,6
311,fit,6
312,fit,6
313,fit,6
314,fit,6
315,fit,6
316,fit,6
317,fit,6
318,fit,6
319,fit,6
320,fit,6
321,fit,6
322,test,6
323,validation,6
324,fit,6
325,fit,6
326,fit,6
327,fit,6
328,fit,6
329,fit,6
330,test,6
331,fit,6
332,fit,6
333,fit,6
334,fit,6
335,fit,6
336,fit,6
337,fit,6
338,fit,6
339,fit,6
340,test,6
341,fit,6
342,validation,6
343,fit,6
344,fit,6
345,fit,6
346,fit,6
347,fit,6
348,fit,6
349,fit,6
350,test,6
351,fit,6
352,fit,6
353,fit,6
354,fit,6
355,fit,6
356,fit,6
357,fit,6
358,fit,6
359,fit,6
360,fit,6
361,validation,6
362,fit,6
363,fit,6
364,test,6
365,fit,6
366,fit,6
367,validation,6
368,fit,6
369,fit,6
370,fit,6
371,fit,6
372,fit,6
373,fit,6
374,fit,6
375,fit,6
376,fit,6
377,fit,6
378,fit,6
379,fit,6
380,validation,6
381,fit,6
382,fit,6
383,test,6
384,validation,6
385,fit,6
386,fit,6
387,fit,6
388,fit,6
389,validation,6
390,fit,6
391,fit,6
392,fit,6
393,fit,6
394,fit,6
395,validation,6
396,fit,6
397,fit,6
398,fit,6
399,fit,6
400,fit,6
401,fit,6
402,fit,6
403,fit,6
404,fit,6
