model_label,class_name,n_folds,mean_auc_ovr,std_auc_ovr,ci95_low,ci95_high
0,Normal,10,0.9999351476052547,6.083043194378799e-05,0.9998916321356695,0.99997866307484
1,MITM,10,0.999172128720631,0.0026066665263640536,0.9973074318193879,1.0010368256218742
2,Fingerprinting,10,0.9993770526201878,0.0016309120939375869,0.9982103683907296,1.000543736849646
3,Ransomware,10,0.9999272179835424,8.570053611111589e-05,0.9998659115131885,0.9999885244538964
4,Uploading,10,0.9999927597120015,1.530047976314649e-05,0.999981814408138,1.000003705015865
5,SQL_injection,10,0.9999928647614507,2.1213482735244887e-05,0.9999776895500759,1.0000080399728253
6,DDoS_HTTP,10,0.9999922179208548,1.4156963455905034e-05,0.9999820906392788,1.0000023452024307
7,DDoS_TCP,10,0.9999966113181973,1.0715952762331215e-05,0.9999889455873845,1.00000427704901
8,Password,10,0.9999126555944423,0.00017727384496272634,0.9997858415251971,1.0000394696636874
9,Port_Scanning,10,0.9999665510720295,6.71794839302471e-05,0.9999184937642592,1.0000146083797996
10,Vulnerability_scanner,10,0.999998790235806,2.692280733705475e-06,0.9999968642941902,1.0000007161774216
11,Backdoor,10,0.9999163566414193,0.00011994605413076434,0.9998305524032508,1.0000021608795877
12,XSS,10,0.999981204181627,1.9392839357631942e-05,0.9999673313800658,0.9999950769831881
13,DDoS_UDP,10,1.0,3.700743415417188e-17,1.0,1.0
14,DDoS_ICMP,10,1.0,0.0,1.0,1.0
