fold,model_label,class_name,precision,recall,f1,support
1,0,Normal,0.9995877988458368,0.9979423868312757,0.9987644151565074,2430
1,1,MITM,1.0,1.0,1.0,122
1,2,Fingerprinting,1.0,1.0,1.0,100
1,3,Ransomware,0.9990842490842491,0.9990842490842491,0.9990842490842491,1092
1,4,Uploading,1.0,1.0,1.0,1027
1,5,SQL_injection,1.0,1.0,1.0,1031
1,6,DDoS_HTTP,1.0,1.0,1.0,1057
1,7,DDoS_TCP,1.0,1.0,1.0,1024
1,8,Password,1.0,1.0,1.0,999
1,9,Port_Scanning,1.0,1.0,1.0,1007
1,10,Vulnerability_scanner,1.0,1.0,1.0,1008
1,11,Backdoor,0.9960899315738025,1.0,0.9980411361410382,1019
1,12,XSS,1.0,1.0,1.0,1006
1,13,DDoS_UDP,1.0,1.0,1.0,1449
1,14,DDoS_ICMP,1.0,1.0,1.0,1409
2,0,Normal,1.0,0.9983545865898807,0.9991766158913133,2431
2,1,MITM,1.0,1.0,1.0,122
2,2,Fingerprinting,1.0,1.0,1.0,100
2,3,Ransomware,0.9990850869167429,1.0,0.9995423340961098,1092
2,4,Uploading,1.0,1.0,1.0,1027
2,5,SQL_injection,1.0,1.0,1.0,1031
2,6,DDoS_HTTP,1.0,1.0,1.0,1056
2,7,DDoS_TCP,1.0,1.0,1.0,1025
2,8,Password,1.0,0.997997997997998,0.998997995991984,999
2,9,Port_Scanning,1.0,1.0,1.0,1007
2,10,Vulnerability_scanner,1.0,1.0,1.0,1008
2,11,Backdoor,0.9960899315738025,1.0,0.9980411361410382,1019
2,12,XSS,1.0,1.0,1.0,1005
2,13,DDoS_UDP,0.9993103448275862,1.0,0.9996550534667127,1449
2,14,DDoS_ICMP,1.0,1.0,1.0,1409
3,0,Normal,0.9971252566735113,0.9991769547325103,0.9981500513874615,2430
3,1,MITM,1.0,1.0,1.0,122
3,2,Fingerprinting,1.0,0.84,0.9130434782608695,100
3,3,Ransomware,0.9740376007162042,0.9963369963369964,0.9850611136260752,1092
3,4,Uploading,0.9980525803310614,0.9980525803310614,0.9980525803310614,1027
3,5,SQL_injection,1.0,0.9990300678952473,0.9995147986414362,1031
3,6,DDoS_HTTP,0.9990539262062441,1.0,0.9995267392333176,1056
3,7,DDoS_TCP,0.9990253411306043,1.0,0.999512432959532,1025
3,8,Password,0.9989969909729187,0.996996996996997,0.9979959919839679,999
3,9,Port_Scanning,0.9843597262952102,1.0,0.9921182266009853,1007
3,10,Vulnerability_scanner,1.0,0.998015873015873,0.9990069513406157,1008
3,11,Backdoor,0.998991935483871,0.97252208047105,0.9855793137742417,1019
3,12,XSS,0.9980099502487563,0.9980099502487563,0.9980099502487563,1005
3,13,DDoS_UDP,1.0,1.0,1.0,1450
3,14,DDoS_ICMP,1.0,1.0,1.0,1409
4,0,Normal,1.0,1.0,1.0,2430
4,1,MITM,1.0,1.0,1.0,122
4,2,Fingerprinting,1.0,1.0,1.0,100
4,3,Ransomware,1.0,1.0,1.0,1092
4,4,Uploading,1.0,1.0,1.0,1027
4,5,SQL_injection,1.0,1.0,1.0,1031
4,6,DDoS_HTTP,1.0,1.0,1.0,1056
4,7,DDoS_TCP,1.0,1.0,1.0,1025
4,8,Password,1.0,1.0,1.0,999
4,9,Port_Scanning,1.0,1.0,1.0,1007
4,10,Vulnerability_scanner,1.0,1.0,1.0,1008
4,11,Backdoor,0.9990186457311089,0.9990186457311089,0.9990186457311089,1019
4,12,XSS,0.9990049751243781,0.9990049751243781,0.9990049751243781,1005
4,13,DDoS_UDP,1.0,1.0,1.0,1450
4,14,DDoS_ICMP,1.0,1.0,1.0,1409
5,0,Normal,0.9983559391697493,0.9995884773662551,0.9989718280896566,2430
5,1,MITM,0.9758064516129032,1.0,0.9877551020408163,121
5,2,Fingerprinting,1.0,0.8217821782178217,0.9021739130434783,101
5,3,Ransomware,0.9697777777777777,0.9990842490842491,0.984212900315742,1092
5,4,Uploading,1.0,0.9990262901655307,0.9995129079396006,1027
5,5,SQL_injection,0.997093023255814,0.9980601357904947,0.9975763451284537,1031
5,6,DDoS_HTTP,0.9971563981042654,0.9962121212121212,0.9966840360018948,1056
5,7,DDoS_TCP,1.0,1.0,1.0,1025
5,8,Password,1.0,0.995995995995996,0.9979939819458375,999
5,9,Port_Scanning,0.9824390243902439,1.0,0.9911417322834646,1007
5,10,Vulnerability_scanner,1.0,0.9960278053624627,0.9980099502487563,1007
5,11,Backdoor,1.0,0.9656862745098039,0.9825436408977556,1020
5,12,XSS,0.995049504950495,1.0,0.9975186104218362,1005
5,13,DDoS_UDP,1.0,1.0,1.0,1450
5,14,DDoS_ICMP,1.0,1.0,1.0,1409
6,0,Normal,0.9991766158913133,0.9987654320987654,0.998970981683474,2430
6,1,MITM,1.0,1.0,1.0,121
6,2,Fingerprinting,1.0,0.99,0.9949748743718593,100
6,3,Ransomware,0.9963536918869644,1.0,0.9981735159817352,1093
6,4,Uploading,0.9990272373540856,1.0,0.9995133819951338,1027
6,5,SQL_injection,0.999031007751938,1.0,0.9995152690256908,1031
6,6,DDoS_HTTP,1.0,1.0,1.0,1056
6,7,DDoS_TCP,1.0,1.0,1.0,1025
6,8,Password,1.0,0.996996996996997,0.9984962406015038,999
6,9,Port_Scanning,1.0,0.9990069513406157,0.9995032290114257,1007
6,10,Vulnerability_scanner,0.9990059642147118,0.9980139026812314,0.9985096870342772,1007
6,11,Backdoor,0.9990196078431373,0.9990196078431373,0.9990196078431373,1020
6,12,XSS,0.9990059642147118,1.0,0.9995027349577325,1005
6,13,DDoS_UDP,1.0,1.0,1.0,1450
6,14,DDoS_ICMP,1.0,1.0,1.0,1409
7,0,Normal,1.0,0.9995884773662551,0.9997941963366948,2430
7,1,MITM,1.0,1.0,1.0,121
7,2,Fingerprinting,1.0,1.0,1.0,100
7,3,Ransomware,1.0,1.0,1.0,1093
7,4,Uploading,1.0,1.0,1.0,1027
7,5,SQL_injection,1.0,1.0,1.0,1031
7,6,DDoS_HTTP,0.9990539262062441,1.0,0.9995267392333176,1056
7,7,DDoS_TCP,1.0,1.0,1.0,1025
7,8,Password,1.0,0.998998998998999,0.99949924887331,999
7,9,Port_Scanning,1.0,1.0,1.0,1007
7,10,Vulnerability_scanner,1.0,1.0,1.0,1007
7,11,Backdoor,1.0,1.0,1.0,1020
7,12,XSS,0.9990059642147118,1.0,0.9995027349577325,1005
7,13,DDoS_UDP,1.0,1.0,1.0,1450
7,14,DDoS_ICMP,1.0,1.0,1.0,1409
8,0,Normal,1.0,0.9987654320987654,0.9993823347745522,2430
8,1,MITM,1.0,1.0,1.0,121
8,2,Fingerprinting,1.0,1.0,1.0,100
8,3,Ransomware,0.9972627737226277,1.0,0.9986295111923252,1093
8,4,Uploading,1.0,1.0,1.0,1027
8,5,SQL_injection,1.0,1.0,1.0,1031
8,6,DDoS_HTTP,1.0,1.0,1.0,1056
8,7,DDoS_TCP,1.0,1.0,1.0,1025
8,8,Password,0.998998998998999,1.0,0.99949924887331,998
8,9,Port_Scanning,1.0,1.0,1.0,1008
8,10,Vulnerability_scanner,1.0,0.9990069513406157,0.9995032290114257,1007
8,11,Backdoor,1.0,0.9990196078431373,0.9995095635115253,1020
8,12,XSS,0.9990059642147118,1.0,0.9995027349577325,1005
8,13,DDoS_UDP,1.0,1.0,1.0,1450
8,14,DDoS_ICMP,1.0,1.0,1.0,1409
9,0,Normal,0.9995883079456567,0.9991769547325103,0.9993825890100844,2430
9,1,MITM,1.0,1.0,1.0,121
9,2,Fingerprinting,1.0,1.0,1.0,100
9,3,Ransomware,0.9981735159817352,1.0,0.9990859232175503,1093
9,4,Uploading,1.0,1.0,1.0,1027
9,5,SQL_injection,1.0,1.0,1.0,1031
9,6,DDoS_HTTP,1.0,1.0,1.0,1056
9,7,DDoS_TCP,1.0,1.0,1.0,1024
9,8,Password,1.0,1.0,1.0,999
9,9,Port_Scanning,1.0,0.9990069513406157,0.9995032290114257,1007
9,10,Vulnerability_scanner,1.0,0.9990079365079365,0.9995037220843672,1008
9,11,Backdoor,0.9990205680705191,1.0,0.9995100440960314,1020
9,12,XSS,0.9990049751243781,0.9990049751243781,0.9990049751243781,1005
9,13,DDoS_UDP,1.0,1.0,1.0,1450
9,14,DDoS_ICMP,1.0,1.0,1.0,1409
10,0,Normal,0.9987649238369699,0.9983539094650206,0.9985593743568636,2430
10,1,MITM,1.0,0.9917355371900827,0.995850622406639,121
10,2,Fingerprinting,1.0,1.0,1.0,100
10,3,Ransomware,0.9990859232175503,1.0,0.9995427526291724,1093
10,4,Uploading,0.9980544747081712,1.0,0.9990262901655307,1026
10,5,SQL_injection,0.9990319457889641,1.0,0.9995157384987894,1032
10,6,DDoS_HTTP,0.998109640831758,1.0,0.9990539262062441,1056
10,7,DDoS_TCP,1.0,1.0,1.0,1024
10,8,Password,1.0,0.997997997997998,0.998997995991984,999
10,9,Port_Scanning,1.0,1.0,1.0,1007
10,10,Vulnerability_scanner,1.0,0.9970238095238095,0.9985096870342772,1008
10,11,Backdoor,0.9960861056751468,0.9990186457311089,0.9975502204801567,1019
10,12,XSS,1.0,0.9980119284294234,0.9990049751243781,1006
10,13,DDoS_UDP,1.0,1.0,1.0,1450
10,14,DDoS_ICMP,1.0,1.0,1.0,1409
