,precision,recall,f1-score,support
0,0.9995884773662551,0.9995884773662551,0.9995884773662551,4860.0
1,1.0,1.0,1.0,243.0
2,0.995,0.995,0.995,200.0
3,0.9990855052583447,1.0,0.9995425434583715,2185.0
4,1.0,1.0,1.0,2054.0
5,1.0,1.0,1.0,2062.0
6,1.0,1.0,1.0,2112.0
7,1.0,1.0,1.0,2050.0
8,1.0,0.998998998998999,0.99949924887331,1998.0
9,1.0,0.9995034756703078,0.9997516761857462,2014.0
10,1.0,0.9985111662531018,0.9992550285572387,2015.0
11,0.9980401763841255,0.9990191270230505,0.9985294117647059,2039.0
12,0.9980119284294234,0.9990049751243781,0.9985082048731975,2010.0
13,1.0,1.0,1.0,2900.0
14,1.0,1.0,1.0,2818.0
accuracy,0.9995880861850444,0.9995880861850444,0.9995880861850444,0.9995880861850444
macro avg,0.9993150724958766,0.9993084146957396,0.9993116394052548,31560.0
weighted avg,0.9995883943212882,0.9995880861850444,0.9995881393368095,31560.0
