question,reference_answer,rag_answer,no_context_answer,rag_bert_Precision,rag_bert_Recall,rag_bert_F1,rag_rouge1,rag_rouge2,rag_rougeL,rag_bleu,rag_meteor,no_context_bert_Precision,no_context_bert_Recall,no_context_bert_F1,no_context_rouge1,no_context_rouge2,no_context_rougeL,no_context_bleu,no_context_meteor
"""How can I update the firmware for Cosori Smart Air Fryer?""","""To update the firmware, open the VeSync app, navigate to 'Settings,' and check for available firmware updates. Follow the on-screen instructions to complete the update."","," To update the firmware, open the VeSync app, navigate to 'Settings,' and check for available firmware updates. Follow the on-screen instructions to complete the update. "," To update the firmware on your Cosori Smart Air Fryer, follow these steps:

1. Make sure that your air fryer is turned off and unplugged.
2. Download the Cosori app from the App Store or Google Play Store.
3. Open the app and sign in to your account.
4. On the main screen of the app, tap on the ""Firmware"" option.
5. Follow the instructions provided by the app to update the firmware. This may involve connecting your air fryer to your Wi-Fi network or using a USB cable to connect it to your computer.
6. Once the firmware update is complete, turn on your air fryer and check for any updates in the Cosori app.
7. If you encounter any issues during the firmware update process, consult the user manual or contact Cosori customer support for assistance. ",0.9907782673835754,0.9802045822143555,0.9854631423950195,1.0,1.0,1.0,0.9146912192286945,0.9199621928166353,0.8407193422317505,0.8940024375915527,0.8665425777435303,0.2666666666666666,0.09815950920245399,0.19393939393939397,0.011270129961608316,0.24524028160391798
"""How do I manage the Wi-Fi connection for Cosori Smart Air Fryer?""","""To manage the Wi-Fi connection, open the VeSync app, select your device, and go to 'Wi-Fi Settings' to update or reconnect to a network."","," To manage the Wi-Fi connection for Cosori Smart Air Fryer, you can open the VeSync app and select your device. Then, go to ""Wi-Fi Settings"" to update or reconnect to a network. "," To manage the Wi-Fi connection for Cosori Smart Air Fryer, you can follow these steps:

1. First, make sure your air fryer is connected to a power source and turned on.
2. Press and hold the ""+"" button on the front of the air fryer until the LED light flashes quickly. This will put the air fryer in pairing mode.
3. On your phone or tablet, open the Cosori app and tap on the ""Smart Air Fryer"" option.
4. Tap on the ""Connect to Wi-Fi"" button and select the Wi-Fi network that you want to connect to. If prompted, enter the password for the Wi-Fi network.
5. Wait for the air fryer to connect to the Wi-Fi network. Once connected, the LED light will stop flashing and turn solid.
6. The app should now display a message confirming that the air fryer is connected to Wi-Fi. You can now use the app to control your air fryer remotely.
7. To disconnect from Wi-Fi, press and hold the ""-"" button on the front of the air fryer until the LED light flashes quickly. This will put the air fryer in pairing mode again, and you can then select ""Forget Device"" in the app to disconnect.

Note: Make sure your phone or tablet is connected to the same Wi-Fi network as the air fryer for the app to control it remotely. ",0.9394845366477966,0.962602436542511,0.9509029984474182,0.8666666666666666,0.7241379310344828,0.8333333333333333,0.24990261274203432,0.6704152249134948,0.8175537586212158,0.8860405683517456,0.8504205346107483,0.16091954022988506,0.06949806949806951,0.13793103448275862,0.006637807897503864,0.15730337078651688
"""How do I check alerts and notifications for Cosori Smart Air Fryer?""","""Open the VeSync app, select your air fryer, and go to 'Notifications' to view or manage alerts related to cooking completion or maintenance."","," To check alerts and notifications for Cosori Smart Air Fryer, you can open the VeSync app, select your device, and go to 'Noti0ications' to view or manage alerts related to cooking completion or maintenance. "," To check alerts and notifications for your Cosori Smart Air Fryer, follow these steps:

1. Open the Cosori app on your smartphone. If you haven't downloaded the app yet, you can do so by searching ""Cosori"" in the App Store or Google Play Store.
2. Once the app is open, tap on the ""Air Fryer"" icon to access your device settings.
3. Tap on the ""Notifications"" tab at the bottom of the screen.
4. You will see a list of all the notifications and alerts that have been set up for your Cosori Smart Air Fryer. These may include reminders to clean the device, alerts for when cooking is complete, or notifications about temperature and time settings.
5. To check an alert, simply tap on it and the app will provide more details about what needs to be done.
6. If you want to turn off a notification, simply swipe left on the alert and tap on ""Delete"" to remove it from your list.
7. You can also customize your notifications by tapping on the ""+"" icon at the top right corner of the screen. This will allow you to add new alerts or edit existing ones.
8. Once you have finished checking your alerts and notifications, tap on the ""Back"" button at the top left corner of the screen to return to the main menu of the app.

By following these steps, you can easily check and manage the alerts and notifications for your Cosori Smart Air Fryer through the app. ",0.9203934669494629,0.952926754951477,0.9363776445388794,0.8070175438596492,0.6545454545454545,0.7017543859649124,0.4023191894496083,0.8265560165975105,0.8198529481887817,0.8768242001533508,0.8473820090293884,0.12363636363636364,0.02197802197802198,0.09454545454545453,0.0012928399590086367,0.16339869281045752
"""How can I access cooking history for Cosori Smart Air Fryer?""","""To access cooking history, open the VeSync app, select your air fryer, and navigate to 'History' to view past cooking sessions."","," To access cooking history for Cosori Smart Air Fryer, open the VeSync app, select your air fryer, and navigate to 'History' to view past cooking sessions. "," To access the cooking history for your Cosori Smart Air Fryer, you need to download and install the Cosori app on your smartphone. Once you have the app installed, follow these steps:

1. Open the Cosori app on your smartphone.
2. Sign in to your Cosori account or create a new account if you don't have one.
3. Select the ""History"" tab at the bottom of the screen.
4. You will see a list of all the cooking sessions that you have done with your Cosori Smart Air Fryer.
5. Tap on any of the cooking sessions to view more details such as the cooking time, temperature, and any notes or photos that you may have added.

If you are unable to find the history in the app, make sure that your smartphone is connected to the same Wi-Fi network as your Cosori Smart Air Fryer. You can also check if there are any updates available for the app, as new features and improvements are regularly added. ",0.9627726674079895,0.9736874103546143,0.9681993126869202,0.8936170212765957,0.8444444444444444,0.8936170212765957,0.618233964096412,0.8366350846971002,0.8363142013549805,0.9021193981170654,0.8679713606834412,0.18947368421052632,0.06382978723404255,0.15789473684210525,0.0033979103172916358,0.19662921348314608
"""How do I manage cooking settings for Cosori Smart Air Fryer?""","""Use the VeSync app to set and save your favorite cooking settings by selecting the air fryer and adjusting the temperature and time presets."","," To manage cooking settings for Cosori Smart Air Fryer, open the VeSync app, select your air fryer, and navigate to 'Cooking Settings' to update or modify settings as desired. "," To manage cooking settings for your Cosori Smart Air Fryer, you can follow these steps:

1. Download and install the Cosori app on your smartphone. The app is available for both iOS and Android devices.
2. Once you have installed the app, create an account and connect your air fryer to your Wi-Fi network. This will allow you to control the cooking settings from your phone.
3. When you want to cook something, select the type of food you are cooking from the app's menu. The app has a variety of preset settings for different types of food. You can also customize these settings to suit your preferences.
4. Once you have selected the cooking setting, you can adjust the time and temperature to suit your needs. You can also set a timer to remind you when the food is ready.
5. When you are done cooking, turn off the air fryer from the app or manually from the device. This will help save energy when not in use.
6. The app also has a feature that allows you to check on your food while it's cooking. You can view live updates of the cooking process and even take pictures of the food.
7. In addition, you can set up reminders for cleaning the air fryer and ordering new accessories.

By following these steps, you will be able to manage your Cosori Smart Air Fryer's cooking settings with ease and enjoy delicious and healthy meals at home. ",0.9093248844146729,0.9131777286529541,0.9112472534179688,0.4528301886792453,0.19607843137254902,0.26415094339622647,0.023017423600862546,0.20408163265306123,0.8336896300315857,0.8817453980445862,0.8570443987846375,0.16,0.04395604395604396,0.10181818181818182,0.013910339649919593,0.2467872570194385
"""How do I troubleshoot Wi-Fi connection issues with Cosori Smart Air Fryer?""","""If experiencing Wi-Fi issues, check if your router settings have changed or reconnect the air fryer using the VeSync app by navigating to 'Wi-Fi Settings.'"","," To troubleshoot Wi-Fi connection issues with Cosori Smart Air Fryer, you can check if your router settings have changed or reconnect the air fryer using the VeSync app by navigating to 'Wi-Fi Settings.' If these steps do not resolve the issue, you may need to contact Cosori support for further assistance. "," If you are experiencing issues with your Cosori Smart Air Fryer's Wi-Fi connection, there are several troubleshooting steps you can try to resolve the problem:

1. Check your Wi-Fi network connection: Ensure that your device is connected to a stable and working Wi-Fi network. If you are unable to connect to your Wi-Fi network, try resetting your router or modem and reconnecting your device to the network.
2. Restart your Cosori Smart Air Fryer: Try restarting your air fryer by unplugging it from the power source for a few minutes and then plugging it back in. This can help resolve any temporary glitches that may be causing the issue.
3. Check the signal strength: Make sure that you are within close range of your Wi-Fi router or modem to ensure a strong and stable connection. If the signal strength is weak, consider moving your device closer to the router or modem.
4. Reset the air fryer's network settings: In some cases, resetting the network settings on your Cosori Smart Air Fryer can help resolve Wi-Fi connection issues. To do this, open the app and go to Settings > Network. From there, select ""Forget"" to remove any saved Wi-Fi networks and then try reconnecting to a new network.
5. Check for firmware updates: Make sure that your Cosori Smart Air Fryer is running the latest firmware. Outdated firmware can cause various issues, including Wi-Fi connection problems. To check for updates, open the app and go to Settings > System > Software Update. If an update is available, follow the prompts to install it on your device.
6. Contact Cosori customer support: If none of the above troubleshooting steps work, you may need to contact Cosori customer support for further assistance. They can provide additional troubleshooting steps or help you resolve any hardware issues that may be causing the problem. ",0.9092584848403931,0.9621694087982178,0.934965968132019,0.65,0.5641025641025641,0.625,0.37772802342651424,0.7197903315915738,0.8125168681144714,0.8749156594276428,0.8425625562667847,0.12865497076023394,0.029411764705882353,0.11111111111111112,0.0026722404827334645,0.1954635999351447
"""How do I reset Cosori Smart Air Fryer?""","""To reset the air fryer, unplug it from the power source, wait 30 seconds, and plug it back in."","," To perform a factory reset for Cosori Smart Air Fryer, you need to open the VeSync app, select your device, and go to 'Device Settings' to initiate the reset. "," To reset your Cosori Smart Air Fryer, follow these steps:

1. Unplug the air fryer from the power source and wait for it to cool down completely.
2. Open the door of the air fryer.
3. Press and hold the ""+"" button (located on the front panel) until the display shows ""0.0"". This indicates that the air fryer is in reset mode.
4. Once the display shows ""0.0"", you can release the ""+"" button. The air fryer will then be reset to its default settings.
5. Close the door of the air fryer.
6. Plug the air fryer back into the power source and turn it on using the power button (located on the front panel).

Your Cosori Smart Air Fryer should now be reset and ready to use. ",0.8656099438667297,0.8630414009094238,0.8643237948417664,0.2916666666666667,0.043478260869565216,0.25,0.009152541620698935,0.21319444444444444,0.8451352715492249,0.9139091968536377,0.8781778216362,0.22972972972972977,0.08219178082191782,0.17567567567567569,0.01057146067192198,0.23333333333333334
"""How can I control power settings for Cosori Smart Air Fryer?""","""Use the VeSync app to turn the air fryer on or off remotely by selecting the device and tapping the power icon."","," To control power settings for the Cosori Smart Air Fryer, use the VeSync app to turn the air fryer on or off remotely by selecting the device and tapping the power icon. "," To control power settings on your Cosori Smart Air Fryer, you need to download and install the Cosori app on your smartphone. The app allows you to access various features of the air fryer, including power settings.

Here are the steps:

1. Download and install the Cosori app from the App Store or Google Play Store on your smartphone.
2. Open the app and create an account if you don't already have one.
3. Connect the air fryer to Wi-Fi by pressing and holding the power button until the indicator light flashes three times. The fryer will then appear in the Cosori app.
4. Tap on the air fryer icon in the app to access its settings.
5. In the settings menu, you can adjust various parameters of the air fryer, including power settings. These settings may include options like ""Eco mode,"" which can help reduce energy consumption when the fryer is not in use.
6. Once you have made any desired changes to the power settings, tap on ""Save"" or ""Apply"" to save your changes and exit the settings menu.
7. The Cosori Smart Air Fryer will now apply the new power settings according to your preferences.

Note that some features of the air fryer may require a subscription to the Cosori app, which typically costs around $20 per year. However, basic functions like power settings should be available for free. ",0.9480581283569336,0.9684622287750244,0.9581515192985535,0.8148148148148148,0.8076923076923077,0.8148148148148148,0.605854760327212,0.8695108695652174,0.8209303021430969,0.8681251406669617,0.8438683152198792,0.12500000000000003,0.031496062992125984,0.09374999999999999,0.006551413557786871,0.20702842377260985
"""How do I schedule maintenance reminders for Cosori Smart Air Fryer?""","""Set maintenance reminders in the VeSync app by selecting your air fryer and navigating to 'Reminders' to schedule regular cleaning."","," To schedule maintenance reminders for the Cosori Smart Air Fryer, you can follow these steps:

1. Open the VeSync app on your smartphone or tablet.
2. Select your air fryer from the list of available devices in the app.
3. Navigate to the 'Reminders' section of the app.
4. Set maintenance reminders for regular cleaning and other necessary upkeep tasks.
5. Save your changes and exit the app.

By following these steps, you can easily schedule maintenance reminders for your Cosori Smart Air Fryer and ensure that it stays in good working condition over time. "," To schedule maintenance reminders for your Cosori Smart Air Fryer, you can follow these steps:

1. Download the Cosori app from the App Store or Google Play Store and create an account if you haven't already.
2. Connect your Cosori Smart Air Fryer to Wi-Fi using the provided instructions in the manual or on Cosori's website.
3. Once connected, open the app and navigate to the ""Settings"" tab.
4. In the ""Settings"" tab, select ""Maintenance Reminders.""
5. Set up reminders for regular cleaning and maintenance of your air fryer. You can set up daily, weekly, or monthly reminders based on your usage frequency and preferences.
6. Confirm your settings, and you're done! The app will now send you notifications to clean or inspect your Cosori Smart Air Fryer at the specified intervals.

By scheduling regular maintenance checks, you can ensure that your air fryer remains in good working condition and prolong its lifespan. Regular cleaning and inspection can help prevent buildup of food particles or grease, which can lead to unpleasant odors, smoke, or even a fire hazard. Additionally, taking care of your Cosori Smart Air Fryer will also help maintain its performance and aesthetic appeal. ",0.8680142164230347,0.9252514839172363,0.8957194089889526,0.34782608695652173,0.23008849557522124,0.24347826086956517,0.02165443026227167,0.500561167227834,0.8303155899047852,0.889750063419342,0.8590059876441956,0.17272727272727273,0.08256880733944955,0.13636363636363635,0.0077640514648663035,0.2502181682180851
"""How can I monitor energy usage of Cosori Smart Air Fryer?""","""Open the VeSync app, select the air fryer, and go to 'Energy Usage' to track power consumption."","," To monitor energy usage of the Cosori Smart Air Fryer, you can open the VeSync app, select the air fryer, and go to 'Energy Usage' to track power consumption. "," The Cosori Smart Air Fryer is an energy-efficient appliance that features built-in smart technology, which allows you to monitor your energy usage and stay informed about the performance of your air fryer. To monitor your energy usage with the Cosori Smart Air Fryer, follow these steps:

1. Download the Cosori app on your smartphone. The Cosori app is available for both iOS and Android devices. You can search for ""Cosori"" in the App Store or Google Play Store to download it.
2. Connect your Cosori Smart Air Fryer to your Wi-Fi network using the Cosori app. This process typically involves pressing a button on the air fryer to activate Bluetooth mode, then scanning a QR code displayed on the screen of the app with your smartphone's camera. Follow the prompts provided by the app to complete the connection process.
3. Once connected, you can view various data about your air fryer's performance, including energy usage, cooking time, and temperature settings. To view this information, open the Cosori app on your smartphone and select the ""Settings"" or ""Profile"" option at the bottom of the screen. From there, you should be able to access a dashboard that displays real-time data about your air fryer's energy usage.
4. You can set up notifications in the Cosori app to alert you when your air fryer has finished cooking or if there are any issues with the appliance. This can help you monitor your energy usage more effectively and take necessary action if needed.
5. Remember to unplug your air fryer when not in use, as this will also help reduce your overall energy consumption. ",0.9439160227775574,0.9598838686943054,0.9518330097198486,0.7391304347826086,0.7272727272727273,0.7391304347826086,0.48962398914135336,0.824053724053724,0.8182625770568848,0.8753103613853455,0.8458256125450134,0.08843537414965986,0.03424657534246575,0.0816326530612245,0.0022781980932098747,0.09456264775413713
