question,reference_answer,rag_answer,no_context_answer,rag_bert_Precision,rag_bert_Recall,rag_bert_F1,rag_rouge1,rag_rouge2,rag_rougeL,rag_bleu,rag_meteor,no_context_bert_Precision,no_context_bert_Recall,no_context_bert_F1,no_context_rouge1,no_context_rouge2,no_context_rougeL,no_context_bleu,no_context_meteor
"""How can I update the firmware for Cosori Smart Air Fryer?""","""To update the firmware, open the VeSync app, navigate to 'Settings,' and check for available firmware updates. Follow the on-screen instructions to complete the update."","," To update the firmware for Cosori Smart Air Fryer, open the VeSync app, navigate to 'Settings,' and check for available firmware updates. Follow the on-screen instructions to complete the update."," To update the firmware on your Cosori Smart Air Fryer, you will need to follow these steps:

1. **Download the latest firmware:**
   - Visit the Cosori official website (<https://cosorihome.com/>) and navigate to the ""Support"" section.
   - Click on ""Air Fryers"" in the main menu, then select your specific model from the list.
   - Scroll down to the ""Downloads & Manuals"" section and find the link for the firmware update file. Make sure you download the correct version for your air fryer model.

2. **Install the Cosori App:**
   - If you haven't already, install the Cosori app on your smartphone from the Apple App Store (iOS) or Google Play Store (Android).

3. **Pair your Air Fryer with the app:**
   - Power on your air fryer and make sure it is connected to Wi-Fi.
   - Launch the Cosori app and follow the instructions to add a new device, which should be your air fryer. If you already have the air fryer added, go to the main screen of the app where you can see your device listed.

4. **Update the firmware:**
   - On the Cosori app's main screen, tap on your air fryer model.
   - Scroll down and find the ""Firmware Update"" section. If there is a new version available, tap ""Update Now.""
   - Follow the instructions provided by the app to initiate the update process. This may require you to manually select the firmware file you downloaded earlier.
   - The air fryer will restart multiple times during the update process, which can take several minutes to complete.

5. **Confirm the update:**
   - Once the update is finished, a notification should appear in the app confirming that the firmware has been successfully updated. You may also notice new features or improvements in your Cosori Smart Air Fryer's functionality after updating.",0.9547861814498901,0.9705806374549866,0.9626185894012451,0.9122807017543859,0.8727272727272728,0.9122807017543859,0.6726408885531413,0.8624210014584348,0.7925297021865845,0.8791848421096802,0.8336113095283508,0.13836477987421383,0.056962025316455694,0.12578616352201258,0.0028640409670609096,0.1338432122370937
"""How do I manage the Wi-Fi connection for Cosori Smart Air Fryer?""","""To manage the Wi-Fi connection, open the VeSync app, select your device, and go to 'Wi-Fi Settings' to update or reconnect to a network."","," To manage the Wi-Fi connection for Cosori Smart Air Fryer, open the VeSync app, select your device, and go to 'Wi-Fi Settings' to update or reconnect to a network."," To manage the Wi-Fi connection for your Cosori Smart Air Fryer, you'll need to download the Cosori app (available for both iOS and Android devices) if you haven't done so already. Here's a step-by-step guide on how to set up and manage the Wi-Fi connection:

1. Install the Cosori App: Download and install the Cosori app from either the Apple App Store or Google Play Store.

2. Create an Account (if you don't have one): Open the app, and if you don't already have a Cosori account, create one by clicking on ""Sign Up."" Follow the instructions to provide your email address, password, name, and accept the terms of service.

3. Register Your Device: After creating an account, open the app and click on the ""Register"" button. You'll be provided with a QR code or Serial Number.

4. Connect Air Fryer to Wi-Fi: Make sure your air fryer is turned off and within the range of your Wi-Fi network. Turn it back on, then press and hold the ""Wi-Fi"" button until the LED light starts flashing quickly. This will put the air fryer in pairing mode.

5. Scan QR Code or Enter Serial Number: In the app, select the device you want to register (in this case, your Cosori Smart Air Fryer). If you have a QR code scanner on your phone, use it to scan the QR code displayed on your air fryer's control panel. If not, enter the serial number provided.

6. Connect to Wi-Fi: The app will now prompt you to connect the air fryer to your Wi-Fi network. Select your network from the list of available networks and enter the password when prompted.

7. Complete Registration: Once connected, the app will finish registering your device. You can now control your Cosori Smart Air Fryer using the app!

To manage the Wi-Fi connection in the future:

1. Open the Cosori app and ensure you're connected to the same network as your air fryer.
2. Go to the device list within the app, select your air fryer, and tap on ""Settings.""
3. Under ""Wi-Fi Settings,"" you can change the Wi-Fi network if needed or reset the air fryer to factory settings (which will remove it from the app and require re-registration).",0.9424076080322266,0.9681517481803894,0.9551061987876892,0.9122807017543859,0.8727272727272728,0.9122807017543859,0.649987468483276,0.8567726410292007,0.8032760620117188,0.8902247548103333,0.8445183634757996,0.10952380952380952,0.062200956937799035,0.09523809523809523,0.005206851090596462,0.17177890963969064
"""How do I check alerts and notifications for Cosori Smart Air Fryer?""","""Open the VeSync app, select your air fryer, and go to 'Notifications' to view or manage alerts related to cooking completion or maintenance."","," To check alerts and notifications for Cosori Smart Air Fryer, open the VeSync app, select your air fryer, and go to 'Noti0ications' to view or manage alerts related to cooking completion or maintenance."," To check alerts and notifications for your Cosori Smart Air Fryer, you will need to use the Cosori app which is available on both iOS and Android devices. Here's a step-by-step guide:

1. Download the Cosori app from the App Store (iOS) or Google Play Store (Android).

2. Create an account if you don't have one already, or log in using your existing credentials.

3. Connect your Cosori Smart Air Fryer to Wi-Fi by following the instructions in the app. Make sure that the device is turned on and close enough to the router for a good connection.

4. Once connected, select your air fryer from the list of devices in the app's home screen.

5. Go to the ""Notification"" section within the settings of your selected device (usually accessible by clicking the gear icon). Here, you can enable or disable various types of notifications such as cook notifications, error alerts, and firmware updates. You may also choose the method of delivery for these notifications: app pop-up, push notification, or email.

6. To view past notifications, navigate to the ""History"" section within the settings of your device. This will show a log of all notifications you have received for that particular air fryer.

7. When there is an alert or notification for your air fryer (for example, when a cook cycle has finished), you should receive a pop-up message in the app. If you've enabled push notifications, you'll also receive a notification on your device home screen.",0.9293038249015808,0.9560896754264832,0.9425064325332642,0.8214285714285715,0.7407407407407406,0.7857142857142856,0.5353045232001137,0.8329166666666667,0.8092749118804932,0.869060754776001,0.8381029963493347,0.12142857142857143,0.03597122302158273,0.09285714285714285,0.005069974997954671,0.22285854136074404
"""How can I access cooking history for Cosori Smart Air Fryer?""","""To access cooking history, open the VeSync app, select your air fryer, and navigate to 'History' to view past cooking sessions."","," To access cooking history, open the VeSync app, select your air fryer, and navigate to 'History' to view past cooking sessions."," To access the cooking history for your Cosori Smart Air Fryer, you'll need to use the Cosori App, which is available on both iOS and Android devices. Here are the steps to follow:

1. Download and Install the App: If you haven't already, download the Cosori app from the Apple App Store or Google Play Store onto your mobile device.

2. Register or Log In: Open the app and either create a new account if you don't have one yet, or log in with your existing credentials.

3. Connect Your Air Fryer: Make sure your air fryer is turned on and connected to Wi-Fi. The LED light should be blinking white, indicating it's in pairing mode. Go back to the app and follow the instructions to connect your device to the air fryer.

4. Access Cooking History: Once your air fryer is successfully connected, you can access the cooking history by going to the ""Recipes"" tab at the bottom of the screen. This tab will display all the recipes saved in the app as well as a list of your cooking history. The cooking history section shows the meals you have cooked using your Cosori Smart Air Fryer, with details such as the recipe name, cook time, temperature, and notes (if any).

5. Review Cooking History: You can scroll through the list to view your past cooking history. Tap on an entry for more information, including the settings used for that specific meal. If you want to save a favorite recipe or modify it in the future, you can tap the ""Save"" button at the top of the screen.

6. Export Cooking History: If you'd like to backup your cooking history or share it with someone else, you can export the data by going to the settings (gear icon) > Backup and Restore > Export Cooking Data. Save this file somewhere safe, such as on a cloud service or an email attachment.

Remember that if you ever need to reset your air fryer or lose your Wi-Fi connection, you will need to repeat the steps to connect your device again before accessing your cooking history. Enjoy exploring and improving your Cosori Smart Air Fryer's potential!",0.990364670753479,0.9758449792861938,0.9830512404441833,1.0,1.0,1.0,0.897077374680109,0.9046959504023216,0.8051607012748718,0.8741286993026733,0.8382285237312317,0.08673469387755102,0.041025641025641026,0.08673469387755102,0.002085096330838023,0.12635379061371843
"""How do I manage cooking settings for Cosori Smart Air Fryer?""","""Use the VeSync app to set and save your favorite cooking settings by selecting the air fryer and adjusting the temperature and time presets."","," To manage cooking settings for Cosori Smart Air Fryer, open the VeSync app, select the air fryer, and navigate to 'Cooking Programs'. In this section, you can update or modify settings as desired."," To manage cooking settings for your Cosori Smart Air Fryer, you'll need to use the Cosori Smart app, which is available on both iOS and Android platforms. Here's a step-by-step guide on how to do it:

1. Download and Install the App: Search for ""Cosori Smart"" in the App Store (iOS) or Google Play Store (Android), download the app, and install it on your smartphone.

2. Register/Login: Open the app and register a new account if you don't have one, or log in with your existing credentials.

3. Connect Your Air Fryer: Turn on your Cosori Smart Air Fryer and make sure it's connected to a 2.4GHz Wi-Fi network. In the app, go to ""Menu"" > ""Air Fryer"" > ""Add Device,"" then follow the on-screen instructions to connect your air fryer to the app.

4. Choose Your Recipe or Manual Cooking: Once connected, you can choose from a variety of built-in recipes in the app by going to ""Menu"" > ""Recipes."" You can also select ""Manual Cook"" if you prefer to customize your cooking settings.

5. Adjust Settings: When you've chosen a recipe or selected manual cook, you can adjust various settings such as temperature, time, and smart functions like Shake Reminder or Start Delay.

6. Start Cooking: After making any necessary adjustments, tap ""Start"" to begin cooking. You can monitor the progress of your food in real-time through the app, and you'll receive notifications when the cooking is done or when it's time to shake or flip your food.

7. Save Favorites: If you have favorite recipes or settings that you use often, you can save them as favorites by going to ""Menu"" > ""Favorites."" This will make it easy to access those recipes or settings quickly in the future.

8. Explore Advanced Features: The Cosori Smart app also offers advanced features like scheduling, voice control with Amazon Alexa and Google Assistant, and more. Experiment with these options to get the most out of your Cosori Smart Air Fryer.",0.9035646915435791,0.912929892539978,0.9082231521606445,0.4210526315789474,0.2545454545454546,0.2807017543859649,0.022233922818300375,0.2008032128514056,0.8047336935997009,0.8717724084854126,0.8369127511978149,0.12054794520547944,0.022038567493112945,0.07671232876712329,0.0023245391806234203,0.18315018315018317
"""How do I troubleshoot Wi-Fi connection issues with Cosori Smart Air Fryer?""","""If experiencing Wi-Fi issues, check if your router settings have changed or reconnect the air fryer using the VeSync app by navigating to 'Wi-Fi Settings.'"","," To troubleshoot Wi-Fi connection issues with your Cosori Smart Air Fryer, check if your router settings have changed. If they haven't, reconnect the air fryer using the VeSync app by navigating to 'Wi-Fi Settings.'"," To troubleshoot Wi-Fi connection issues with your Cosori Smart Air Fryer, follow these steps:

1. Check if the smart air fryer is in range of your Wi-Fi network: The smart air fryer should be within 5 meters (or about 16 feet) from your router for a stable connection. If it's too far, you may experience connectivity issues.

2. Restart your Cosori Smart Air Fryer: Turn off the air fryer and unplug it from the power source. Wait for a few minutes, then plug it back in and turn it on. Try connecting again.

3. Check your Wi-Fi connection: Make sure your Wi-Fi network is working properly by trying to connect other devices to it. If you can't connect other devices, there may be an issue with your router or internet service provider.

4. Restart your router: Unplug your router and modem from the power source. Wait for about 30 seconds, then plug them back in. Allow a few minutes for your router to reconnect to the internet. After that, try connecting your Cosori Smart Air Fryer again.

5. Update the firmware on your smart air fryer: Make sure your smart air fryer has the latest software version installed. To do this, open the Cosori app, go to the ""More"" tab, select ""Firmware Update,"" and follow the prompts.

6. Reset the smart air fryer network settings: If the above steps don't work, you can reset your smart air fryer's network settings. To do this, press and hold the power button for 5 seconds until the display shows ""Reset."" Press the up arrow to select ""Yes,"" then confirm by pressing the down arrow. The display will show ""Restarting"" before rebooting the device. Once it's back on, you can attempt to connect it to your Wi-Fi network again.

7. Factory reset the smart air fryer: If none of the above steps work, perform a factory reset on your smart air fryer as a last resort. To do this, press and hold the power button for 10 seconds until you see ""Factory Reset."" Press the up arrow to select ""Yes,"" then confirm by pressing the down arrow. The display will show ""Restarting"" before rebooting the device. Once it's back on, set it up as a new device in the Cosori app.

8. Contact Cosori Support: If you are still experiencing issues, please reach out to Cosori support for further assistance. They can help troubleshoot any ongoing problems and ensure that your smart air fryer is working correctly. You can contact them via email, live chat, or phone through their website (https://www.cosoricollective.com/pages/contact-us).",0.9276504516601562,0.9568135738372803,0.9420063495635986,0.7812500000000001,0.6451612903225806,0.75,0.4628279565204496,0.7269061701194666,0.793647289276123,0.87589430809021,0.8327449560165405,0.09341825902335456,0.0255863539445629,0.08492569002123142,0.003364451385831559,0.15204746640626662
"""How do I reset Cosori Smart Air Fryer?""","""To reset the air fryer, unplug it from the power source, wait 30 seconds, and plug it back in."","," To perform a factory reset for Cosori Smart Air Fryer, open the VeSync app, select the air fryer, and go to 'Device Settings' to initiate the reset."," To reset your Cosori Smart Air Fryer, follow these steps:

1. Unplug the air fryer from the power source and wait for about 30 seconds to allow it to fully discharge any remaining energy. This is an important safety precaution.

2. Plug the air fryer back into the power source. The display should show a clock with the default time (usually 12:00).

3. Press and hold the '+' button for about 5 seconds until the clock flashes. This indicates that the air fryer is now in reset mode.

4. Release the '+' button and then press the '-' button to adjust the minutes. To set the hours, press the '+' button. You can cycle through the numbers by repeatedly pressing the corresponding buttons.

5. Once you have set the correct time, press the 'Start/Pause' button to confirm and save the new settings. The display will show the new time for a few seconds before returning to the standby mode.

6. Your Cosori Smart Air Fryer is now reset. You can now use it as normal.",0.8732494115829468,0.8666260242462158,0.8699251413345337,0.30434782608695654,0.09090909090909093,0.2608695652173913,0.04108404733153058,0.25813692480359146,0.825863242149353,0.9177778363227844,0.8693979382514954,0.19791666666666669,0.0736842105263158,0.15625,0.007939353940357366,0.2167630057803468
"""How can I control power settings for Cosori Smart Air Fryer?""","""Use the VeSync app to turn the air fryer on or off remotely by selecting the device and tapping the power icon."","," To control power settings for Cosori Smart Air Fryer, you need to use the VeSync app. Select your air fryer and tap on the power icon to turn the air fryer on or off remotely."," To control power settings for your Cosori Smart Air Fryer, you'll need to connect it to your Wi-Fi network and use the Cosori app. Here's a step-by-step guide:

1. Download the Cosori App: Install the Cosori app on your smartphone from either the Apple App Store or Google Play Store. The app is free to download.

2. Register an Account: Create an account within the app if you don't have one already.

3. Connect Your Air Fryer: Turn on your air fryer and follow the in-app instructions to connect it to your Wi-Fi network. The process may vary slightly depending on the specific model of your air fryer, so refer to the user manual or Cosori's official website for detailed instructions.

4. Access Power Settings: Once connected, open the app and select your device from the list. You'll then be able to access various settings, including power settings.

5. Customize Your Settings: In the settings menu, you can customize the preset cooking times and temperatures for each cooking mode available on your air fryer. For example, if you want your french fries to cook for 10 minutes instead of the default 8 minutes, you can adjust that setting here.

6. Manual Cooking: If you prefer to cook manually, you can also set a custom time and temperature for each cooking mode. This allows you to have complete control over the cooking process.

7. Save Your Settings: After making your desired adjustments, save them so they will be applied every time you use that particular cooking mode.

8. Cooking Tips: Keep in mind that it's essential to preheat your air fryer before adding food and always shake or flip the food halfway through the cooking process for even cooking results. Also, follow any specific instructions provided by Cosori for your model of air fryer.

9. Updates and Troubleshooting: If you encounter issues with your air fryer or the app, check for software updates within the app to ensure you're using the latest version. You can also consult the user manual, visit Cosori's official website, or contact their customer support for help.",0.9320741891860962,0.9458874464035034,0.9389300346374512,0.6666666666666666,0.509090909090909,0.456140350877193,0.22989210622820633,0.5742489270386266,0.7989332675933838,0.8505359888076782,0.8239274621009827,0.0883116883116883,0.015665796344647518,0.06753246753246753,0.0020873196440012493,0.19417198905109495
"""How do I schedule maintenance reminders for Cosori Smart Air Fryer?""","""Set maintenance reminders in the VeSync app by selecting your air fryer and navigating to 'Reminders' to schedule regular cleaning."",", Set maintenance reminders in the VeSync app by selecting your air fryer and navigating to 'Reminders' to schedule regular cleaning.," To schedule maintenance reminders for your Cosori Smart Air Fryer, you'll need to use the Cosori app. Here are the steps:

1. Download and Install the App: If you haven't done so already, download the Cosori app from the Apple App Store (for iOS devices) or Google Play Store (for Android devices). Install it on your smartphone.

2. Register Your Air Fryer: Open the app and follow the instructions to register your Cosori Smart Air Fryer. You'll need to connect your air fryer to Wi-Fi for this process. If you have trouble with this step, refer to the user manual or contact Cosori customer support for assistance.

3. Access the Maintenance Schedule: Once your air fryer is registered, navigate to the main menu and look for the ""Maintenance"" or ""Help & Support"" section. Here, you should find an option to set a maintenance reminder.

4. Set Up the Reminder: In the maintenance setup, you'll be able to choose the frequency of the reminders (e.g., monthly, bimonthly, quarterly, or custom). After setting your preferred interval, confirm the schedule by clicking on ""Save"" or similar button.

5. Receive Reminders: From now on, you should receive notifications in the app when it's time to perform routine maintenance on your Cosori Smart Air Fryer. These reminders help ensure that your appliance remains in good working order and extends its lifespan.",0.9783350229263306,0.9667743444442749,0.9725203514099121,1.0,1.0,1.0,0.8914703664390793,0.8999228395061729,0.8164526224136353,0.8696401715278625,0.8422074913978577,0.12698412698412698,0.056,0.10317460317460318,0.006726511302127414,0.17241379310344832
"""How can I monitor energy usage of Cosori Smart Air Fryer?""","""Open the VeSync app, select the air fryer, and go to 'Energy Usage' to track power consumption."","," To monitor energy usage of Cosori Smart Air Fryer, open the VeSync app, select the air fryer, and go to 'Energy Usage' to track power consumption."," To monitor the energy usage of your Cosori Smart Air Fryer, you'll need to use its companion app, which is compatible with both Android and iOS devices. Here's a step-by-step guide:

1. Download and Install the App: Search for ""Cosori"" in the Google Play Store (for Android) or the Apple App Store (for iOS). Once you find it, download and install the app on your device.

2. Register or Sign In: After installation, open the app and register a new account or sign in if you already have an account.

3. Connect Your Air Fryer: Follow the instructions provided in the app to connect your Cosori Smart Air Fryer to your smartphone. This usually involves powering on the air fryer and following the prompts within the app.

4. Access Energy Usage Data: Once connected, you should be able to access various features of your air fryer from the app, including energy usage data. The specific location of this information may vary depending on the app's design, but it is usually found within the device settings or in a separate energy consumption section.

5. Analyze and Adjust Usage: Use the energy usage data to understand how much power your air fryer consumes during different cooking processes. You can then adjust your cooking habits to optimize energy efficiency and reduce costs over time.",0.9514108300209045,0.9652597904205322,0.9582853317260742,0.7906976744186047,0.7804878048780487,0.7906976744186047,0.549696364469696,0.8378646803227809,0.8165535926818848,0.8767187595367432,0.8455672860145569,0.10699588477366256,0.041493775933609964,0.09876543209876543,0.0024229452794690192,0.12032085561497327
