question,rag_memory_diff,rag_elapsed_time,rag_estimated_cpu_usage,rag_psutil_cpu_usage,rag_response_size,rag_token_count,rag_gpu_memory_used_nvml,rag_gpu_utilization_nvml,rag_gpu_memory_used_smi,rag_gpu_utilization_smi,rag_gpu_utilization_torch_diff,no_context_memory_diff,no_context_elapsed_time,no_context_estimated_cpu_usage,no_context_psutil_cpu_usage,no_context_response_size,no_context_token_count,no_context_gpu_memory_used_nvml,no_context_gpu_utilization_nvml,no_context_gpu_memory_used_smi,no_context_gpu_utilization_smi,no_context_gpu_utilization_torch_diff
"""Why is Amazon Echo not connecting to Bluetooth speakers?""",17.0,3.5464258193969727,4.229610532936694,9.05,1260,222,5387.5625,89,5387.0,89.0,0.0,0.0,2.449923276901245,1.6327041902550508,7.0,2029,344,0.0,91,0.0,91.0,0.0
"""Why is my Amazon Echo not responding to routines?""",0.0,1.2213163375854492,0.8187886866207605,5.85,762,123,0.0,72,0.0,72.0,0.0,0.0,1.5238902568817139,0.6562152330091312,6.0,1105,209,0.0,70,0.0,44.0,0.0
"""What if Amazon Echo keeps saying Im having trouble understanding?""",0.0,0.47360992431640625,2.1114422410876363,5.4,124,18,2.0,62,2.0,62.0,0.0,0.0,1.8955895900726318,1.0550807044278636,5.9,1494,266,0.0,69,0.0,69.0,0.0
"""How do I fix Amazon Echo not syncing calendars?""",0.0,0.7294111251831055,1.3709689439531743,5.55,279,52,0.0,89,0.0,89.0,0.0,0.0,2.8553922176361084,1.4008583392832235,5.9,2236,415,0.0,71,0.0,71.0,0.0
"""How to resolve Amazon Echo network congestion issues?""",0.0,0.667564868927002,1.4979817640902975,5.65,285,46,0.0,74,0.0,74.0,0.0,0.0,2.5346906185150146,1.5781018680470649,6.2,1978,352,0.0,73,0.0,73.0,0.0
"""What to do if Amazon Echo does not respond after a recent update?""",0.0,0.9912848472595215,1.0087917743971886,5.75,493,89,0.0,92,0.0,44.0,0.0,0.0,1.6718692779541016,0.5981328882505083,6.050000000000001,1250,231,0.0,71,0.0,71.0,0.0
"""How to fix issues with Amazon Echo connected to multiple Alexa accounts?""",0.0,0.9134886264801025,1.0947043794658133,5.8,493,82,0.0,89,0.0,89.0,0.0,0.0,1.779991626739502,1.1236007911247625,5.95,1366,253,0.0,61,0.0,61.0,0.0
"""Why is my Amazon Echo not discovering my smart home devices?""",0.0,2.0927000045776367,0.9557031565084689,5.85,1308,240,0.0,91,0.0,91.0,0.0,0.0,1.8533964157104492,1.0790999610482626,5.949999999999999,1428,257,0.0,65,0.0,65.0,0.0
"""Why is my Amazon Echo unable to send messages?""",0.0,1.5428268909454346,0.6481608571052081,5.8,860,158,0.0,51,0.0,51.0,0.0,0.0,1.8564107418060303,1.6160216769061553,5.95,1544,261,0.0,74,0.0,74.0,0.0
"""How to fix Amazon Echos inability to play podcasts?""",0.0,0.694894552230835,0.0,5.8,272,47,0.0,90,0.0,90.0,0.0,0.0,1.6115424633026123,0.6205235187849969,5.95,1323,225,0.0,85,0.0,62.0,0.0
"""How to troubleshoot Amazon Echo failing to connect to a new smart camera?""",0.0,1.1181037425994873,1.7887427828030904,5.3,580,103,0.0,70,0.0,70.0,0.0,0.0,1.9248747825622559,1.5585429385731986,5.9,1560,273,0.0,80,0.0,80.0,0.0
"""How to prevent Amazon Echo from connecting to unknown Bluetooth devices?""",0.0,0.867229700088501,1.1530970398014835,5.8,455,73,0.0,92,0.0,66.0,0.0,0.0,1.9586284160614014,1.531684098626892,5.95,1645,275,0.0,54,0.0,54.0,0.0
"""What if Amazon Echo is sharing my calendar information?""",0.0,0.7451183795928955,1.3420686261240005,5.7,371,59,0.0,90,0.0,90.0,0.0,0.0,1.911975622177124,1.5690576622436176,5.9,1510,266,0.0,70,0.0,70.0,0.0
"""How to block Amazon Echo from connecting to new devices without approval?""",0.0,0.7934141159057617,1.260375861675184,5.699999999999999,422,62,0.0,91,0.0,91.0,0.0,0.0,1.4829609394073486,2.0229797834047187,6.0,1077,207,0.0,76,0.0,50.0,0.0
"""How to fix Apple HomePod not playing music?""",0.0,1.7704200744628906,1.6945130950970289,5.1,1083,206,0.0,71,0.0,71.0,0.0,0.0,2.057817220687866,1.457855425564534,6.050000000000001,1555,299,0.0,91,0.0,66.0,0.0
"""What if Apple HomePod is not pairing with my iPhone?""",0.0,0.6955142021179199,1.437785162336998,6.1,278,51,0.0,65,0.0,65.0,0.0,0.0,1.5302631855010986,0.6534823613837001,6.050000000000001,1182,217,0.0,56,0.0,56.0,0.0
"""How to resolve Apple HomePod not recognizing voice commands for HomeKit devices?""",0.0,0.6924526691436768,0.0,5.75,309,55,0.0,86,0.0,86.0,0.0,0.0,2.519306182861328,1.19080404772112,5.3,2004,374,0.0,81,0.0,81.0,0.0
"""Why is Apple HomePod not making calls?""",0.0,0.8933053016662598,1.1194381116226741,5.699999999999999,445,83,0.25,71,0.0,71.0,0.0,0.0,1.7748539447784424,1.6902799291321011,6.2,1374,251,-0.0625,81,0.0,81.0,0.0
"""How to resolve Apple HomePod not detecting Apple TV?""",0.0,0.6867542266845703,2.9122500048605384,5.55,268,52,0.0,71,0.0,71.0,0.0,0.0,1.2889082431793213,0.7758504185938973,6.15,960,183,0.0,73,0.0,73.0,0.0
"""How to fix Apple HomePod failing to send messages?""",0.0,0.6626601219177246,1.5090692300991673,5.5,266,51,0.0,67,0.0,67.0,0.0,0.0,2.2905313968658447,1.309739741662072,5.9,1680,339,0.0,59,0.0,59.0,0.0
"""What if Apple HomePod is not pausing music on command?""",0.0,0.6600794792175293,0.0,5.65,262,48,0.0,80,0.0,80.0,0.0,0.0,1.7289724349975586,1.156756440713953,5.95,1338,247,0.0,91,0.0,91.0,0.0
"""What if Apple HomePod is not recognizing commands for multi-room audio?""",0.0,0.7042410373687744,1.4199683729542565,5.65,276,55,0.0,71,0.0,71.0,0.0,0.0,1.416966199874878,1.4114662722205815,5.85,1077,201,0.0,82,0.0,82.0,0.0
"""What if Apple HomePod does not show up in the AirPlay list?""",0.0,0.5975940227508545,1.6733768443609673,5.550000000000001,208,41,0.0,88,0.0,88.0,0.0,0.0,2.926553964614868,1.3667952302825515,6.0,2221,436,0.0,80,0.0,80.0,0.0
"""Why is Apple HomePod not showing song titles while playing music?""",0.0,0.9593284130096436,1.0423958953356924,5.6,520,91,0.0,64,0.0,38.0,0.0,0.0,1.8497402667999268,1.0812328822035007,6.1,1406,260,0.0,80,0.0,80.0,0.0
"""How to fix Apple HomePod not detecting nearby Bluetooth devices?""",0.0,1.1956701278686523,2.5090532330581854,5.7,616,119,0.0,92,0.0,90.0,0.0,0.0,1.9942235946655273,1.5043448528164935,5.9,1577,278,0.0,76,0.0,52.0,0.0
"""How to fix Apple HomePods AirPlay connection dropping frequently?""",0.0,0.8501110076904297,2.3526339288720757,5.55,436,75,0.0,74,0.0,74.0,0.0,0.0,2.132127285003662,1.4070454522582412,6.25,1634,306,0.0,89,0.0,89.0,0.0
"""Why is Apple HomePod not recognizing commands for multi-room audio?""",0.0,0.6420669555664062,1.557469966847921,5.5,241,47,0.0,71,0.0,71.0,0.0,0.0,2.123950958251953,1.4124619913393894,6.15,1663,306,0.0,79,0.0,79.0,0.0
"""What if Apple HomePod is not displaying correct location-based updates?""",0.0,0.9222574234008789,1.084295961872117,5.55,438,78,0.0,65,0.0,65.0,0.0,0.0,2.538144111633301,1.5759546440513514,6.4,1955,373,0.0,81,0.0,81.0,0.0
"""How to disable the drop-in feature on Apple HomePod?""",0.0,1.1412653923034668,0.8762203837459854,5.8,535,116,0.0,67,0.0,41.0,0.0,0.0,1.3312675952911377,1.50232756139653,5.800000000000001,880,194,0.0,67,0.0,67.0,0.0
"""How to disable third-party app integrations for privacy on Apple HomePod?""",0.0,0.849071741104126,1.1777567802449875,5.6,486,78,0.0,80,0.0,80.0,0.0,0.0,1.3592615127563477,2.207080809576116,6.0,888,192,0.0,80,0.0,80.0,0.0
"""How to disable third-party skill integrations on Apple HomePod?""",0.0,1.1825313568115234,1.691287075374125,5.9,565,123,0.0,57,0.0,57.0,0.0,0.0,1.5235021114349365,1.9691472545281443,5.95,1000,217,0.0,86,0.0,86.0,0.0
"""How to fix ecobee SmartThermostat not connecting to Wi-Fi?""",0.0,1.8047230243682861,1.1082032937991704,5.9,1005,215,0.0,82,0.0,57.0,0.0,0.0,1.143038034439087,1.7497230536000687,6.0,687,158,0.0,90,0.0,90.0,0.0
"""How to fix ecobee SmartThermostat that keeps restarting?""",0.0,1.1916651725769043,0.8391618912867249,5.2,659,123,0.0,76,0.0,52.0,0.0,0.0,2.3372392654418945,1.2835656341896753,6.0,1740,327,0.0,88,0.0,88.0,0.0
"""Why is the ecobee SmartThermostat not responding to app commands?""",0.0,0.758678674697876,1.318081070880505,5.65,331,64,0.0,55,0.0,55.0,0.0,0.0,2.130157709121704,0.9388976184418699,5.95,1700,310,0.0,87,0.0,87.0,0.0
"""How to fix ecobee SmartThermostat that wont connect to the ecobee app?""",0.0,0.6926958560943604,2.887270051356184,5.6,240,53,0.0,71,0.0,71.0,0.0,0.0,2.5235183238983154,1.1888164122247118,5.75,1894,376,0.0,70,0.0,70.0,0.0
"""How to fix ecobee SmartThermostat that is showing No Signal?""",0.0,2.0056822299957275,0.9971669340682237,5.85,1162,239,0.0,80,0.0,80.0,0.0,0.0,2.3953440189361572,1.2524297037435574,6.15,1753,352,0.0,75,0.0,75.0,0.0
"""What if ecobee SmartThermostat is not detecting occupancy?""",0.0,0.9148874282836914,1.0930306495475395,5.65,478,83,0.0,70,0.0,70.0,0.0,0.0,2.026000738143921,1.4807497073018465,6.2,1564,292,0.0,80,0.0,80.0,0.0
"""How to fix ecobee SmartThermostat that wont power on after a reset?""",0.0,0.680741548538208,1.4689862873031752,5.5,277,54,0.0,71,0.0,71.0,0.0,0.0,1.4444549083709717,1.3846053541786891,6.199999999999999,992,206,0.0,89,0.0,89.0,0.0
