question,rag_memory_diff,rag_elapsed_time,rag_estimated_cpu_usage,rag_psutil_cpu_usage,rag_response_size,rag_token_count,rag_gpu_memory_used_nvml,rag_gpu_utilization_nvml,rag_gpu_memory_used_smi,rag_gpu_utilization_smi,rag_gpu_utilization_torch_diff,no_context_memory_diff,no_context_elapsed_time,no_context_estimated_cpu_usage,no_context_psutil_cpu_usage,no_context_response_size,no_context_token_count,no_context_gpu_memory_used_nvml,no_context_gpu_utilization_nvml,no_context_gpu_memory_used_smi,no_context_gpu_utilization_smi,no_context_gpu_utilization_torch_diff
"""Why is Amazon Echo not connecting to Bluetooth speakers?""",16.75,2.8117258548736572,4.623494846578554,8.8,331,53,0.0,0,0.0,0.0,0.0,0.0,2.7236275672912598,1.4686295762449415,7.4,2114,376,0.0,0,0.0,0.0,0.0
"""Why is my Amazon Echo not responding to routines?""",0.0,0.8731834888458252,2.290469329239943,5.699999999999999,448,75,0.0,-27,0.0,-27.0,0.0,0.0,3.038529872894287,1.316426090025547,6.15,2166,417,0.0,-21,0.0,-21.0,0.0
"""What if Amazon Echo keeps saying Im having trouble understanding?""",0.0,0.7497925758361816,1.3337021894152012,5.550000000000001,324,55,0.0,-9,0.0,-9.0,0.0,0.0,2.33504581451416,1.2847713656633881,6.1,1812,325,0.0,-21,0.0,-21.0,0.0
"""How do I fix Amazon Echo not syncing calendars?""",0.0,0.7162230014801025,1.3962131876991384,5.75,277,51,0.0,-9,0.0,-9.0,0.0,0.0,3.280566453933716,1.5241270281247956,6.05,2435,467,0.0,0,0.0,-23.0,0.0
"""How to resolve Amazon Echo network congestion issues?""",0.0,0.6354587078094482,1.5736663731419722,5.7,263,41,0.0,-21,0.0,-21.0,0.0,0.0,3.462947368621826,1.4438567693247453,6.0,2593,473,0.0,-20,0.0,-20.0,0.0
"""What to do if Amazon Echo does not respond after a recent update?""",0.0,0.7957000732421875,1.2567549427579459,5.800000000000001,358,63,0.0,-12,0.0,-12.0,0.0,0.0,2.0441131591796875,1.4676291214739172,5.85,1550,288,0.0,-6,0.0,-6.0,0.0
"""How to fix issues with Amazon Echo connected to multiple Alexa accounts?""",0.0,0.5771157741546631,1.7327545785154461,5.5,222,36,0.0,-6,0.0,-6.0,0.0,0.0,3.755493402481079,1.3313829806482076,6.25,2774,558,0.0,-18,0.0,-18.0,0.0
"""Why is my Amazon Echo not discovering my smart home devices?""",0.0,0.8514015674591064,1.174533895896321,5.65,408,69,0.0,0,0.0,-28.0,0.0,0.0,2.8604111671447754,1.0488002684573827,6.15,2207,405,0.0,0,0.0,-23.0,0.0
"""Why is my Amazon Echo unable to send messages?""",0.0,0.670952320098877,0.0,5.45,276,45,0.0,-21,0.0,-21.0,0.0,0.0,2.2466979026794434,0.8901953385075623,6.35,1694,317,0.0,-20,0.0,-20.0,0.0
"""How to fix Amazon Echos inability to play podcasts?""",0.0,0.7464399337768555,1.3396925254791148,5.5,272,46,0.0,-21,0.0,-21.0,0.0,0.0,2.242798089981079,1.3376148363072071,6.2,1659,313,0.0,0,0.0,0.0,0.0
"""How to troubleshoot Amazon Echo failing to connect to a new smart camera?""",0.0,1.2257165908813477,1.6316985630112433,5.75,645,126,0.0,-26,0.0,-26.0,0.0,0.0,2.5939583778381348,1.5420447892204754,5.95,2059,370,0.0,0,0.0,-24.0,0.0
"""How to prevent Amazon Echo from connecting to unknown Bluetooth devices?""",0.0,0.6905577182769775,1.4481048774533951,5.75,298,47,0.0,-3,0.0,-3.0,0.0,0.0,1.876208782196045,1.0659794469456745,5.9,1339,258,0.0,-23,0.0,-23.0,0.0
"""What if Amazon Echo is sharing my calendar information?""",0.0,0.5207083225250244,0.0,5.300000000000001,168,28,0.0,-16,0.0,-16.0,0.0,0.0,1.5928564071655273,0.6278029805457914,6.2,1343,216,0.0,0,0.0,0.0,0.0
"""How to block Amazon Echo from connecting to new devices without approval?""",0.0,0.6559576988220215,1.5244885482643065,5.75,303,43,0.0,-10,0.0,-10.0,0.0,0.0,2.934568405151367,1.3630624499938244,6.0,2153,426,0.0,-6,0.0,-6.0,0.0
"""How to fix Apple HomePod not playing music?""",0.0,0.5820333957672119,0.0,5.45,210,38,0.0,-24,0.0,-24.0,0.0,0.0,2.266425609588623,1.7648935765097222,6.15,1674,333,0.0,0,0.0,0.0,0.0
"""What if Apple HomePod is not pairing with my iPhone?""",0.0,0.6791431903839111,0.0,5.6,269,49,0.0,-27,0.0,-27.0,0.0,0.0,2.1350317001342773,1.4051313616614023,6.15,1575,307,0.0,-19,0.0,-19.0,0.0
"""How to resolve Apple HomePod not recognizing voice commands for HomeKit devices?""",0.0,0.5577895641326904,1.7927908019482324,5.5,198,36,0.0,-3,0.0,-3.0,0.0,0.0,3.1168301105499268,0.9625163687445825,6.0,2355,454,0.25,-20,1.0,-20.0,0.0
"""Why is Apple HomePod not making calls?""",0.0,0.8688180446624756,1.1509889857186877,5.75,424,79,0.0,-9,0.0,-9.0,0.0,0.0,2.5251924991607666,1.1880282398261308,6.0,1837,360,0.0,-1,0.0,-1.0,0.0
"""How to resolve Apple HomePod not detecting Apple TV?""",0.0,0.8266069889068604,1.2097647532869256,5.75,328,71,0.0,-21,0.0,-21.0,0.0,0.0,2.0633490085601807,1.453946951075115,5.95,1561,306,0.0,-21,0.0,-21.0,0.0
"""How to fix Apple HomePod failing to send messages?""",0.0,0.5520098209381104,1.8115619723945418,5.6,177,34,0.0,-21,0.0,-21.0,0.0,0.0,3.425875425338745,1.1675847785984743,5.9,2607,504,0.0,0,0.0,0.0,0.0
"""What if Apple HomePod is not pausing music on command?""",0.0,0.6588783264160156,1.5177309070700202,5.800000000000001,263,48,0.0,-1,0.0,-1.0,0.0,0.0,1.7251381874084473,0.5796637088547587,5.85,1278,245,0.0,-20,0.0,-20.0,0.0
"""What if Apple HomePod is not recognizing commands for multi-room audio?""",0.0,0.7156782150268555,1.3972760089709197,5.7,301,58,0.0,-2,0.0,-2.0,0.0,0.0,3.538515090942383,1.4130220930238524,5.9,2625,528,0.0,-21,0.0,-21.0,0.0
"""What if Apple HomePod does not show up in the AirPlay list?""",0.0,0.559769868850708,1.786448423979933,5.4,171,35,0.0,-7,0.0,-7.0,0.0,0.0,2.4429502487182617,0.8186822474380285,6.25,1853,359,0.0,-20,0.0,-20.0,0.0
"""Why is Apple HomePod not showing song titles while playing music?""",0.0,0.8772406578063965,1.1399380444818565,5.6,474,79,0.0,-21,0.0,-21.0,0.0,0.0,2.2154831886291504,1.3541064158813998,6.15,1704,326,0.0,-10,0.0,-10.0,0.0
"""How to fix Apple HomePod not detecting nearby Bluetooth devices?""",0.0,0.7528426647186279,1.328298789194615,5.55,294,58,0.0,-17,0.0,-17.0,0.0,0.0,3.4356577396392822,1.1642603260067639,6.300000000000001,2580,505,0.0,0,0.0,-23.0,0.0
