question,rag_memory_diff,rag_elapsed_time,rag_estimated_cpu_usage,rag_psutil_cpu_usage,rag_gpu_load_diff_avg,rag_gpu_memory_used_diff_avg,no_context_memory_diff,no_context_elapsed_time,no_context_estimated_cpu_usage,no_context_psutil_cpu_usage,no_context_gpu_load_diff_avg,no_context_gpu_memory_used_diff_avg
"""Why is Amazon Echo not connecting to Bluetooth speakers?""",10.25,3.4590678215026855,3.7582379620277537,6.35,45.0,3160.5,0.0,2.8841629028320312,1.3868842138119921,4.05,42.5,0.0
"""Why is my Amazon Echo not responding to routines?""",0.0,0.8766067028045654,1.1407624386177242,3.45,28.5,0.0,0.0,1.6234371662139893,1.8479310825415631,3.7,33.5,0.0
"""What if Amazon Echo keeps saying Im having trouble understanding?""",0.0,0.6578507423400879,1.5201016516950443,2.9000000000000004,38.5,1.0,0.0,2.643646717071533,2.647857580514461,3.7,45.0,0.0
"""How do I fix Amazon Echo not syncing calendars?""",0.0,1.1612017154693604,1.7223536387832472,3.4,28.5,0.0,0.0,2.344696044921875,2.9854615975321823,3.85,32.0,0.0
"""How to resolve Amazon Echo network congestion issues?""",0.0,0.6513614654541016,1.5352458704366572,3.3,24.5,0.0,0.0,2.999257802963257,1.6670791003894063,3.55,44.5,0.0
"""What to do if Amazon Echo does not respond after a recent update?""",0.0,1.1101601123809814,1.8015419376856345,3.6999999999999997,35.5,0.0,0.0,2.6336772441864014,1.5187889893606827,3.55,37.0,0.0
"""How to fix issues with Amazon Echo connected to multiple Alexa accounts?""",0.0,0.6146888732910156,3.253678546826616,3.0,15.000000000000004,0.0,0.0,2.4613049030303955,1.2188656498048396,3.65,27.5,0.0
"""Why is my Amazon Echo not discovering my smart home devices?""",0.0,1.2484033107757568,0.8010231880741965,3.4,15.500000000000004,0.0,0.0,2.8101017475128174,2.1351540047652686,4.1,44.0,0.0
"""Why is my Amazon Echo unable to send messages?""",0.0,0.6780726909637451,2.949536276350189,3.1500000000000004,35.5,0.0,0.0,2.9342660903930664,1.3632028850744362,3.7,35.0,0.0
"""How to fix Amazon Echos inability to play podcasts?""",0.0,0.8018660545349121,1.247091075054905,3.45,35.0,0.0,0.0,2.169111967086792,2.7661089381468402,3.6999999999999997,32.5,0.0
"""How to troubleshoot Amazon Echo failing to connect to a new smart camera?""",0.0,1.3946397304534912,1.4340621139121161,3.5,28.0,0.0,0.0,2.0741007328033447,1.9285466403521943,3.5,19.0,0.0
"""How to prevent Amazon Echo from connecting to unknown Bluetooth devices?""",0.0,0.6797456741333008,2.9422769075360815,3.55,27.000000000000004,0.0,0.0,1.8013567924499512,2.775685539342597,3.55,43.0,0.0
"""What if Amazon Echo is sharing my calendar information?""",0.0,0.8130671977996826,2.459821285881837,3.55,21.0,0.0,0.0,1.9870874881744385,2.5162455250491425,3.7,33.5,0.0
"""How to block Amazon Echo from connecting to new devices without approval?""",0.0,0.6301474571228027,1.5869301521362436,2.95,43.0,0.0,0.0,1.16957688331604,2.565030176976798,3.95,29.0,0.0
"""How to fix Apple HomePod not playing music?""",0.0,1.1343815326690674,2.6446128693062256,3.1,35.5,0.0,0.0,2.641754150390625,1.8926817998035754,3.7,38.5,0.0
"""What if Apple HomePod is not pairing with my iPhone?""",0.0,0.7053477764129639,1.4177403451747796,3.6,35.5,0.0,0.0,1.348628282546997,2.2244824899670377,3.6,37.0,0.0
"""How to resolve Apple HomePod not recognizing voice commands for HomeKit devices?""",0.0,0.6955215930938721,2.8755397673613627,3.35,23.0,0.0,0.0,2.167736530303955,2.3065533703483814,3.4499999999999997,36.0,0.0
"""Why is Apple HomePod not making calls?""",0.0,0.9273111820220947,3.235159952949466,3.25,32.0,0.0,0.0,0.9196960926055908,2.1746313984370182,4.0,36.0,0.0
"""How to resolve Apple HomePod not detecting Apple TV?""",0.0,0.6992907524108887,1.4300203406840162,3.15,38.5,0.0,0.0,2.339165210723877,0.8550058759558046,5.0,20.499999999999996,0.0
"""How to fix Apple HomePod failing to send messages?""",0.0,0.6400139331817627,3.124931968366808,3.3,32.5,0.0,0.0,2.7145273685455322,2.2103295290092815,3.4,24.000000000000004,0.0
"""What if Apple HomePod is not pausing music on command?""",0.0,0.6946852207183838,1.4395008993651641,3.05,35.0,0.0,0.0,2.758676528930664,1.4499706500749467,3.55,18.0,0.0
"""What if Apple HomePod is not recognizing commands for multi-room audio?""",0.0,0.7469711303710938,1.3387398245270914,3.3499999999999996,29.5,0.0,0.0,2.748955726623535,2.182647010968696,3.75,34.0,0.0
"""What if Apple HomePod does not show up in the AirPlay list?""",0.0,0.5564720630645752,3.5940708128022165,3.0999999999999996,10.0,0.0,0.0,2.2819228172302246,1.7529076662001157,3.9,26.5,0.0
