model,use_case,bert_Precision_RAG_Mean,bert_Precision_NC_Mean,bert_Precision_Abs_Diff,bert_Precision_Pct_Improvement,bert_Recall_RAG_Mean,bert_Recall_NC_Mean,bert_Recall_Abs_Diff,bert_Recall_Pct_Improvement,bert_F1_RAG_Mean,bert_F1_NC_Mean,bert_F1_Abs_Diff,bert_F1_Pct_Improvement,rouge1_RAG_Mean,rouge1_NC_Mean,rouge1_Abs_Diff,rouge1_Pct_Improvement,rouge2_RAG_Mean,rouge2_NC_Mean,rouge2_Abs_Diff,rouge2_Pct_Improvement,rougeL_RAG_Mean,rougeL_NC_Mean,rougeL_Abs_Diff,rougeL_Pct_Improvement,bleu_RAG_Mean,bleu_NC_Mean,bleu_Abs_Diff,bleu_Pct_Improvement,meteor_RAG_Mean,meteor_NC_Mean,meteor_Abs_Diff,meteor_Pct_Improvement
gemma2:9b,Device Management,93.77436859663143,80.33062034527352,13.443748251357917,16.73552151542537,94.05402468591318,87.7728727545523,6.281151931360881,7.156142591943492,93.8734533196435,83.84279737557334,10.030655944070162,11.963646560047245,72.0437690315669,19.63204761322262,52.41172141834427,266.97022364108267,62.19223834242601,7.574599532253501,54.61763881017251,721.0630552493823,68.07595326616715,13.9244528720145,54.15150039415265,388.8949956733083,47.415970474859606,1.1810618064994753,46.23490866836013,3914.690019940177,66.4666677944133,20.450761716401967,46.01590607801133,225.00827458717856
gemma2:9b,Maintenance,89.79781631066423,78.82264980451102,10.975166506153215,13.92387408108311,93.53782046580352,87.6573846241628,5.880435841640718,6.70843177315123,91.5677867083557,82.9884938954928,8.579292812862903,10.337930489095012,59.00206744029266,12.939312152293855,46.06275528799881,355.99075704988616,49.54794160225878,4.375549096266199,45.17239250599258,1032.3822567672635,54.41666521085128,9.276204461508556,45.14046074934272,486.6264099357906,37.036683853489734,0.6623476378613767,36.374336215628354,5491.728834887333,59.33964681565709,17.563951323625805,41.77569549203129,237.84907349314693
gemma2:9b,Safety,93.28405594901193,79.74699191466162,13.537064034350308,16.975015244257126,95.86997807403154,88.469945073505,7.400033000526534,8.364459811044574,94.5096986769121,83.86675641883777,10.642942258074328,12.690299127490471,75.07791428744585,14.03531098565402,61.04260330179183,434.9216299103426,66.83593166579661,4.8575724593810525,61.978359206415554,1275.9121912164494,70.84689754835323,10.051068476025806,60.79582907232742,604.8693153105062,52.23102948500301,1.0059414304162821,51.225088054586735,5092.253535415933,72.89910580441261,20.945437434050778,51.95366837036184,248.0428901709224
gemma2:9b,Setup,95.5160868679819,80.18852880030322,15.32755806767868,19.114402392703234,95.91317663163495,88.67427831961334,7.238898312021618,8.163470229698492,95.68705933591339,84.19287013678462,11.494189199128769,13.65221209403438,81.33392959485643,18.94459256186674,62.38933703298969,329.325303931699,75.50407732976527,7.995653761825763,67.5084235679395,844.313993312841,79.33170309331943,14.36315968112182,64.96854341219762,452.327655297106,62.79248020314145,1.351292935615048,61.4411872675264,4546.844407172241,77.49708604381586,22.293198831246873,55.203887212568986,247.62658616399827
gemma2:9b,Troubleshooting,91.47934114717575,79.13941854992544,12.339922597250307,15.592637428168132,93.41735138771045,87.82668664871927,5.59066473899118,6.365564900964762,92.39199683967844,83.23583698057266,9.156159859105784,11.00026165561697,64.294868318578,15.521161519248858,48.77370679932914,314.24005696249935,53.88926112733212,5.453237361718691,48.43602376561343,888.2067761368799,59.22947373565406,10.886672276969867,48.34280145868419,444.0548978492779,41.476662013941684,0.9562881957384892,40.5203738182032,4237.255463235278,62.03294183533888,20.60604668673234,41.42689514860654,201.042421083517
llama3.1:8b,Device Management,89.41376980613259,79.94941981807453,9.46434998805806,11.837922038201471,93.10773618407191,87.76313922636812,5.344596957703786,6.089796929344592,91.16854855202128,83.6374419006212,7.53110665140008,9.004467951505035,60.171857433139465,15.41159265242434,44.760264780715126,290.43244128097336,49.194909943573265,6.3892287765470845,42.80568116702618,669.966324013202,54.340958456960905,11.218235903667487,43.122722553293414,384.39842880461845,29.52118607368596,1.2550969254896267,28.266089148196333,2252.104086476782,62.11677250319778,19.56661886193098,42.5501536412668,217.462986024902
llama3.1:8b,Maintenance,86.25082684435034,78.86748442778716,7.383342416563181,9.361706500634662,92.83827619067436,87.5086068159446,5.329669374729761,6.09045163516266,89.38531472876265,82.94955168884775,6.435763039914903,7.758647164310313,47.0533936919384,10.582336647919407,36.471057044019,344.6408695681551,37.4024571919434,3.89430781399081,33.50814937795259,860.4391583420854,41.442868499199655,7.982975508555372,33.459892990644285,419.14061936912174,21.867972711327283,0.6899376332982886,21.178035078028994,3069.5578927599754,56.52864497889838,16.51826969480668,40.010375284091694,242.21892500442038
llama3.1:8b,Safety,90.3370380212989,80.20092085758343,10.136117163715468,12.63840496509342,95.16887197954745,88.52483930089807,6.644032678649381,7.50527505174695,92.6545986363405,84.14092234606984,8.513676290270652,10.11835389117091,67.11228848575381,13.488240901576686,53.62404758417712,397.561460945651,59.539935534648194,4.981419221479401,54.558516313168795,1095.2404101609782,63.52474070071741,9.976775261547372,53.547965439170035,536.7261869228964,45.075626765633785,1.1933944392954507,43.88223232633833,3677.093748840096,73.03574171455338,21.230468598419204,51.805273116134174,244.01379967652494
llama3.1:8b,Setup,91.56170733318739,79.92161137560394,11.64009595758344,14.56439097915458,95.5220478078339,88.51170967692977,7.010338130904131,7.920238075269433,93.46910553292994,83.97675931819377,9.492346214736173,11.303539564761024,71.7440222627417,14.540131887586,57.203890375155694,393.42071184371406,63.53929529389678,6.4589921685729506,57.08030312532383,883.7338958708655,69.16506783739945,11.39209962762724,57.77296820977221,507.1318729487378,47.26889052765519,1.275114142439625,45.99377638521556,3607.0320965319625,74.37245299993518,20.942762967658773,53.429690032276405,255.12245024587318
llama3.1:8b,Troubleshooting,87.86016814859516,79.24594055995884,8.614227588636325,10.870244617916615,92.95720242592226,87.7157641911363,5.24143823478596,5.975480329128351,90.30133184180202,83.24951961277479,7.0518122290272345,8.470694199591659,55.928109351769265,12.805977649242939,43.122131702526325,336.73439766682407,45.02889793021615,4.9002784523523735,40.12861947786377,818.9048819991051,49.82053009453122,9.411867419686356,40.40866267484486,429.33735541497305,28.98440215820857,0.9048644274784566,28.079537730730113,3103.176219334652,62.12041214902233,19.61620343586068,42.504208713161646,216.67907784571122
llava:7b,Device Management,90.81527344505372,84.14515192466297,6.670121520390751,7.926923141528889,93.42571715486686,89.16923247186006,4.2564846830068035,4.773490322853301,92.05316597883744,86.5386605344295,5.514505444407945,6.3723027492596716,58.104459969592284,23.450259222617508,34.65420074697478,147.7774740909951,44.75656031410394,9.501283174081934,35.25527714002201,371.0580612542218,51.52700891888884,17.27400126430964,34.2530076545792,198.29226089817664,26.46574935501338,2.1250473318909933,24.340702023122386,1145.4192882123987,58.31938428553717,24.831610724539814,33.487773560997354,134.8594496445738
llava:7b,Maintenance,86.13482286327404,82.41801117865194,3.716811684622101,4.509708049816223,92.33677242253277,88.5167670647935,3.8200053577392765,4.315572613427088,89.0935089516147,85.34348933041001,3.750019621204686,4.394031285370073,34.34915744529038,15.21576047135213,19.13339697393825,125.74722775087155,24.527954611980466,5.423971351954405,19.103983260026062,352.2139410478703,28.787348263229106,11.203488129924896,17.58386013330421,156.94987069551246,11.336869888509273,1.1751159323713334,10.16175395613794,864.7448031473762,45.14908328208119,20.74905355858181,24.400029723499383,117.59586843134602
llava:7b,Safety,88.1338203066512,83.66423875470704,4.4695815519441595,5.34228437199842,94.25299502437628,89.2598963896685,4.993098634707778,5.593888001964688,91.06686057735092,86.35732923881918,4.709531338531747,5.45353982116289,41.2756270588301,18.779125577055687,22.496501481774416,119.79525558559881,31.876949768962465,6.913604625370773,24.96334514359169,361.07568332710264,36.06802238419633,13.630769946342022,22.437252437854312,164.60737380338236,16.778640360419875,1.840374620670367,14.938265739749507,811.6970084225654,55.981634558936534,25.724940372046966,30.25669418688957,117.61618782901773
llava:7b,Setup,93.10668318366712,84.13715419228092,8.969528991386198,10.66060419738929,95.92240208679912,90.10599860750092,5.816403479298202,6.455067996787078,94.45951391765676,86.99514993860677,7.464363979049992,8.580207039493187,69.41402788466114,22.814576504044215,46.59945138061693,204.25297560249035,60.547697085611894,10.160855064295973,50.38684202131592,495.8917502757149,66.51006832644639,18.1339938647802,48.376074461666185,266.7701049332661,45.36867013788274,2.596007419478762,42.77266271840398,1647.632529763419,71.72319427603551,26.81867335578445,44.90452092025106,167.43751760027203
llava:7b,Troubleshooting,87.3785060482571,83.04364611226393,4.334859935993165,5.219977853733702,92.46010357536466,88.58354693076697,3.8765566445976845,4.376158755109944,89.8080616201981,85.70451293006,4.103548690138098,4.788019381764457,41.767737361791184,19.109245509043404,22.65849185274778,118.57345096134068,30.13118223599256,6.942267078643797,23.188915157348763,334.02510872397636,35.08609348481174,13.691805575951054,21.394287908860687,156.2561474466059,16.212570315397766,1.581511241518181,14.631059073879586,925.1315254537436,49.36304184856824,23.90053095888753,25.462510889680708,106.53533569392253
mistral:7b,Device Management,90.80543558020273,82.0764097567296,8.729025823473123,10.63524324388155,93.33270236177093,88.613840525845,4.718861835925921,5.3251972918944,92.00488509133805,85.17899525475404,6.825889836584011,8.013583414748064,61.382161513660996,20.134305492978378,41.24785602068262,204.8635649988889,47.99626296563713,8.035182147691199,39.96108081794593,497.3263839380194,55.43353529095213,14.416166728076826,41.017368562875305,284.52340581626436,27.851027096799168,1.7246004265970738,26.126426670202093,1514.9263717714555,61.90659033796454,23.311051385176448,38.59553895278809,165.5675598455893
mistral:7b,Maintenance,85.92306519540202,80.72915836244773,5.1939068329542835,6.433743319403042,92.65280156522184,88.25356404997396,4.399237515247876,4.9847703745503,89.10977390309017,84.30897476942248,4.800799133667695,5.694291914707126,41.103966688409685,13.141840620972278,27.962126067437406,212.7717636661513,30.738789967591373,4.688311907464323,26.05047806012705,555.6472899904919,35.027478670903236,9.585064906702536,25.4424137642007,265.4380957442408,15.537931728186402,0.9270764485100154,14.610855279676386,1576.0140712407,51.19912054582285,19.342028455492656,31.857092090330195,164.70398729706952
mistral:7b,Safety,89.51403497706487,81.74289554546151,7.771139431603359,9.50680714176735,94.65468945571139,89.03714297692987,5.61754647878152,6.309216907641639,91.9800634154036,85.2224010738391,6.757662341564512,7.929443733590048,54.88287231727197,15.02060415846094,39.86226815881103,265.3839202357054,43.28341736103599,5.514085374697212,37.76933198633878,684.9609576168878,48.29389246076241,10.870629025981154,37.423263434781255,344.2603307070681,25.982571566254382,1.3663866178312227,24.61618494842316,1801.5534276451597,65.79987536630007,22.868282143083167,42.93159322321691,187.73422924643324
mistral:7b,Setup,93.05966312717075,82.02966908735732,11.029994039813431,13.446347111393395,95.8170434631453,89.49190642387589,6.325137039269407,7.067831373834606,94.38913201261883,85.57680361658517,8.812328396033664,10.297566657801408,73.09125514533883,19.176353670236793,53.91490147510204,281.1530408869242,62.63699654591325,8.423502993610153,54.21349355230309,643.5979614826281,70.15106189834158,14.95582309055727,55.19523880778431,369.05517318290015,45.054323504902435,1.926040606634263,43.128282898268175,2239.2198144583476,74.86389143741837,24.893348511980182,49.970542925438195,200.7385342369242
mistral:7b,Troubleshooting,88.0682320479887,81.37298696730511,6.695245080683591,8.227847262597939,92.85012062594114,88.48492232970445,4.365198296236699,4.933267930067786,90.3518727116556,84.75946382765311,5.592408884002495,6.597975767489399,50.888263509817044,16.37186646544674,34.51639704437031,210.82750166096264,38.606889465867134,6.099255912630627,32.50763355323651,532.9770388207219,44.192580743891384,11.650438519641122,32.54214222425026,279.3211789357838,21.908514489957653,1.261408198850675,20.64710629110698,1636.8298786958476,57.20329922875679,22.648559017319556,34.554740211437235,152.5692658195734
