question,reference_answer,rag_answer,no_context_answer,rag_bert_Precision,rag_bert_Recall,rag_bert_F1,rag_rouge1,rag_rouge2,rag_rougeL,rag_bleu,rag_meteor,no_context_bert_Precision,no_context_bert_Recall,no_context_bert_F1,no_context_rouge1,no_context_rouge2,no_context_rougeL,no_context_bleu,no_context_meteor
"""How can I update the firmware for Cosori Smart Air Fryer?""","""To update the firmware, open the VeSync app, navigate to 'Settings,' and check for available firmware updates. Follow the on-screen instructions to complete the update."",","To update the firmware for Cosori Smart Air Fryer, open the VeSync app, navigate to 'Settings', and check for available firmware updates. Follow the on-screen instructions to complete the update.","Updating the firmware for your Cosori Smart Air Fryer is a relatively straightforward process that can be completed using the Cosori app or by connecting your air fryer directly to your Wi-Fi network. Here's a step-by-step guide to help you update the firmware on your Cosori Smart Air Fryer:

**Method 1: Update through the Cosori App**

1. Download and install the Cosori app on your smartphone or tablet from the App Store (for iOS devices) or Google Play Store (for Android devices).
2. Open the Cosori app and log in to your account using your email address and password.
3. Tap on the ""Settings"" icon (usually represented by a gear or cog icon) at the bottom right corner of the screen.
4. Scroll down to the ""Firmware Update"" section and tap on it.
5. If an update is available, you will see a notification that says ""Update Available."" Tap on this notification to download and install the update.
6. Follow the in-app instructions to complete the firmware update process.

**Method 2: Update through the Air Fryer**

1. Plug your Cosori Smart Air Fryer into a power outlet, making sure it is fully charged.
2. Press and hold the ""Power"" button on the air fryer for about 10 seconds until the lights start flashing rapidly.
3. Release the Power button, but keep holding the ""+"" button (usually located on the side or top of the air fryer) for about 5-7 seconds.
4. The lights will stop flashing and the display screen will show a message indicating that the air fryer is entering ""Firmware Update Mode.""
5. Follow the on-screen instructions to complete the firmware update process.

**What to Expect During Firmware Updates**

During the firmware update process, your Cosori Smart Air Fryer may:

* Connect to Wi-Fi and download the new firmware
* Display a progress bar indicating the percentage of the update completed
* Restart or shut down temporarily during the update process

**Tips and Precautions**

* Make sure your air fryer is fully charged before attempting to update the firmware.
* Ensure that you have a stable internet connection for Method 1.
* Avoid turning off or unplugging your air fryer during the firmware update process.
* If you experience any issues or errors during the update process, refer to the user manual or contact Cosori customer support for assistance.

By following these steps and tips, you should be able to successfully update the firmware on your Cosori Smart Air Fryer.",0.9536191821098328,0.9691623449325562,0.9613279700279236,0.9122807017543859,0.8727272727272728,0.9122807017543859,0.5785905561845899,0.822328931572629,0.7855456471443176,0.8788084983825684,0.829564094543457,0.1050228310502283,0.05963302752293579,0.10045662100456622,0.016208859851294867,0.15562786200453035
"""How do I manage the Wi-Fi connection for Cosori Smart Air Fryer?""","""To manage the Wi-Fi connection, open the VeSync app, select your device, and go to 'Wi-Fi Settings' to update or reconnect to a network."",","To manage the Wi-Fi connection for Cosori Smart Air Fryer, you need to open the VeSync app, select your air fryer, and go to 'Wi-Fi Settings' to update or reconnect to a network.","The Cosori Smart Air Fryer is a popular and highly-rated kitchen appliance that can be controlled wirelessly using the Cosori app. To manage your Wi-Fi connection for the Cosori Smart Air Fryer, follow these steps:

1. Ensure you have a stable internet connection: Before starting, make sure you have a stable and fast internet connection. A minimum upload speed of 2 Mbps is recommended for optimal performance.
2. Download and install the Cosori app: If you haven't already, download and install the Cosori app on your smartphone or tablet from the App Store (for iOS devices) or Google Play Store (for Android devices).
3. Pair your Smart Air Fryer with Wi-Fi: To pair your Smart Air Fryer with Wi-Fi, follow these steps:
	* Press and hold the power button for 10 seconds until the device lights up.
	* Use the app to select ""Wi-Fi"" mode from the home screen.
	* Follow the on-screen instructions to search for nearby devices. Select your Cosori Smart Air Fryer from the list of available devices.
	* Once paired, the device will connect to your Wi-Fi network and begin transmitting cooking data wirelessly.
4. Connect to a Wi-Fi network: To connect to a specific Wi-Fi network, follow these steps:
	* Open the Cosori app and navigate to the ""Settings"" or ""Networks"" section.
	* Select the Wi-Fi network you want to connect to from the list of available networks.
	* If prompted, enter your Wi-Fi password to authenticate the connection.
5. Configure Wi-Fi settings (optional): To customize your Wi-Fi settings, follow these steps:
	* Open the Cosori app and navigate to the ""Settings"" or ""Networks"" section.
	* Select ""Wi-Fi Settings"" from the menu.
	* Adjust the settings according to your preferences, such as setting a custom name for your device or changing the encryption method.
6. Check Wi-Fi connectivity: To verify that your Smart Air Fryer is connected to Wi-Fi, follow these steps:
	* Open the Cosori app and navigate to the ""Home"" screen.
	* Select the ""Cooking"" tab.
	* If your device is connected successfully, you should see a checkmark or a green circle next to your device's name.

Troubleshooting Tips:

* Check your internet connection: Ensure that your internet connection is stable and fast enough for wireless connectivity. A minimum upload speed of 2 Mbps is recommended.
* Restart your Smart Air Fryer: If you're experiencing issues with Wi-Fi connectivity, try restarting your Smart Air Fryer by pressing and holding the power button until it turns off.
* Reset your device: If you've tried all else and still encounter issues, you may need to reset your Cosori Smart Air Fryer. To do this, press and hold the power button for 10 seconds until the device lights up, then release it. Follow the on-screen instructions to complete the reset process.

By following these steps, you should be able to successfully manage your Wi-Fi connection for your Cosori Smart Air Fryer. If you encounter any issues or have further questions, refer to the user manual or contact Cosori's customer support team for assistance.",0.9307287931442261,0.9632865786552429,0.9467279314994812,0.819672131147541,0.7457627118644068,0.819672131147541,0.4805219079236056,0.8018574297188754,0.7999438047409058,0.878109335899353,0.8372060656547546,0.08133086876155267,0.04081632653061225,0.07393715341959334,0.0013846267344665413,0.09681881051175659
"""How do I check alerts and notifications for Cosori Smart Air Fryer?""","""Open the VeSync app, select your air fryer, and go to 'Notifications' to view or manage alerts related to cooking completion or maintenance."",","To check alerts and notifications for Cosori Smart Air Fryer, you need to:

1. Open the VeSync app
2. Select your air fryer
3. Go to 'Noti0ications'","To check alerts and notifications for your Cosori Smart Air Fryer, follow these steps:

1. **Open the Cosori Smart App**: First, you'll need to download and install the Cosori Smart app on your smartphone or tablet. You can find it on the Apple App Store (for iOS devices) or Google Play Store (for Android devices).
2. **Log in to Your Account**: Once the app is installed, open it and log in with your Cosori account credentials. If you don't have an account, create one by following the in-app instructions.
3. **Navigate to the Alerts Tab**: After logging in, tap on the ""Devices"" or ""Families"" tab (depending on how you've set up your account) to view a list of all connected Cosori devices. Look for the Smart Air Fryer and select it.
4. **Check Alert Status**: On the device's page, look for an alert icon or a bell icon near the top of the screen. This indicates whether there are any new alerts or notifications available for your Cosori Smart Air Fryer.
5. **View Alert Details**: Tap on the alert icon to view details about the alert. You'll see information such as the reason for the alert (e.g., ""Temperature too low"" or ""Cleaning cycle complete""), and you may be able to take actions based on the alert, like adjusting the temperature or resetting the device.
6. **Adjust Notification Preferences**: If you want to customize your notification settings, tap on the three dots (⋯) at the top-right corner of the screen and select ""Settings."" From there, you can choose which types of alerts you receive for your Cosori Smart Air Fryer, such as cooking completion, cleaning cycle completion, or low battery notifications.
7. **Check Device Status**: Additionally, check the device's status page to see if there are any maintenance or cleaning reminders, software updates available, or other important notifications.

Tips:

* Make sure your Cosori Smart Air Fryer is connected to a stable Wi-Fi network for alerts and notifications to work properly.
* If you have multiple devices connected to your account, ensure that the correct device is selected in the app.
* Regularly check your device's status page for any software updates or maintenance reminders.

By following these steps, you can easily monitor and manage alerts and notifications for your Cosori Smart Air Fryer.",0.8736084699630737,0.8974859118461609,0.8853862881660461,0.6,0.2916666666666667,0.39999999999999997,0.024010981785257506,0.3796708342162888,0.7916609048843384,0.8685826063156128,0.8283398151397705,0.09685230024213073,0.043795620437956206,0.08232445520581114,0.0018717621448017501,0.15946106991525424
"""How can I access cooking history for Cosori Smart Air Fryer?""","""To access cooking history, open the VeSync app, select your air fryer, and navigate to 'History' to view past cooking sessions."",","To access cooking history for Cosori Smart Air Fryer, open the VeSync app, select your air fryer, and navigate to 'History' to view past cooking sessions.","The Cosori Smart Air Fryer is a popular kitchen appliance that allows users to cook a variety of delicious meals with minimal oil. If you're looking to explore the cooking history or track your usage, here are some steps to help you access it:

**Method 1: Using the Cosori App**

1. Download and install the Cosori app on your smartphone or tablet.
2. Launch the app and navigate to the ""Fridge"" section.
3. Select your Cosori Smart Air Fryer from the list of connected appliances.
4. Tap on the ""Cooking History"" tab.
5. You'll see a list of all the dishes you've cooked, along with the cooking time, temperature, and other relevant details.

**Method 2: Using the Cosori Website**

1. Visit the Cosori website ([www.cosori.com](http://www.cosori.com)) on your computer or mobile device.
2. Sign in to your Cosori account (if you have one).
3. Navigate to the ""My Products"" section and select your Cosori Smart Air Fryer.
4. Click on the ""History"" tab.
5. You'll see a list of all the dishes you've cooked, along with the cooking time, temperature, and other relevant details.

**Method 3: Checking the Display Screen**

1. Make sure your Cosori Smart Air Fryer is connected to Wi-Fi and turned on.
2. Press the ""Settings"" button on the display screen.
3. Navigate to the ""History"" or ""Cooking History"" option using the up/down arrow buttons.
4. You'll see a list of all the dishes you've cooked, along with the cooking time, temperature, and other relevant details.

**Tips:**

* Make sure your Cosori Smart Air Fryer is updated to the latest software version for the best cooking history tracking.
* If you're having trouble accessing your cooking history, try restarting your appliance or checking if your Wi-Fi connection is stable.
* You can also use the Cosori app to share your cooking history with friends and family, or to get inspiration from other users' recipes.

By following these steps, you should be able to access your cooking history for your Cosori Smart Air Fryer. Happy cooking!",0.9627726674079895,0.9736874103546143,0.9681993126869202,0.8936170212765957,0.8444444444444444,0.8936170212765957,0.618233964096412,0.8366350846971002,0.7969858646392822,0.8705098628997803,0.8321269154548645,0.08602150537634409,0.032432432432432434,0.08064516129032259,0.004316910612521289,0.13307984790874525
"""How do I manage cooking settings for Cosori Smart Air Fryer?""","""Use the VeSync app to set and save your favorite cooking settings by selecting the air fryer and adjusting the temperature and time presets."",","To manage cooking programs for Cosori Smart Air Fryer, you need to open the VeSync app, select the air fryer, and navigate to 'Cooking Programs' to update or modify settings as desired.","The Cosori Smart Air Fryer is a versatile and feature-rich kitchen appliance that allows you to cook a variety of delicious meals with minimal effort. Managing the cooking settings on your Cosori Smart Air Fryer is straightforward, and here's a step-by-step guide to help you get started:

**Understanding the Cosori Smart Air Fryer Interface**

The Cosori Smart Air Fryer has an intuitive interface that allows you to easily navigate and adjust cooking settings. The interface consists of a touchscreen display, buttons, and knobs for temperature control.

1. **Touchscreen Display**: The touchscreen display shows the current temperature, cooking time, and other relevant information.
2. **Knobs**: The temperature knob is used to adjust the cooking temperature, while the power button is used to turn the appliance on and off.
3. **Buttons**: The buttons are used to select pre-programmed cooking settings (e.g., chicken, steak, fries), or customize your own recipe.

**Setting Cooking Parameters**

To manage cooking settings on your Cosori Smart Air Fryer, follow these steps:

1. **Temperature Adjustment**: Use the temperature knob to adjust the cooking temperature between 175°F and 400°F (80°C to 200°C).
2. **Cooking Time**: Adjust the cooking time using the + or - buttons. The default cooking times vary depending on the selected recipe.
3. **Shake Setting**: Some recipes require shaking the basket halfway through cooking. Use the shake setting button to enable this feature.
4. **Pat drying**: Pat drying is an optional feature that helps remove excess moisture from food before cooking. Use the pat dry button to activate this feature.

**Customizing Cooking Settings**

To customize cooking settings, follow these steps:

1. **Select a Recipe**: Choose from pre-programmed recipes or create your own using the ""Create Your Own"" option.
2. **Temperature and Time Adjustment**: Adjust the temperature and cooking time to suit your recipe.
3. **Shake Setting and Pat Dry**: Enable or disable shake setting and pat dry as needed.

**Tips for Optimal Cooking Results**

To ensure optimal cooking results, follow these tips:

1. **Preheat**: Preheat the Cosori Smart Air Fryer before cooking to achieve even heating.
2. **Pat Dry**: Pat drying helps remove excess moisture from food, ensuring crispy results.
3. **Shake**: Shake the basket halfway through cooking to distribute heat evenly.
4. **Monitor Cooking Time**: Monitor the cooking time closely to avoid overcooking or undercooking.

**Troubleshooting Common Issues**

If you encounter any issues with your Cosori Smart Air Fryer, refer to the troubleshooting guide provided in the user manual. Some common issues and solutions include:

1. **Uneven heating**: Check if the basket is properly aligned and ensure that the food is not overcrowded.
2. **Undercooked or overcooked food**: Adjust cooking time or temperature as needed.

By following these steps and tips, you'll be able to manage cooking settings for your Cosori Smart Air Fryer with ease, ensuring delicious and consistent results every time.",0.9052536487579346,0.9146342873573303,0.9099198579788208,0.39285714285714285,0.2222222222222222,0.28571428571428575,0.020750198923629275,0.18145161290322584,0.7872247099876404,0.8511210680007935,0.8179269433021545,0.07584830339321356,0.036072144288577156,0.06387225548902195,0.0029590833104197736,0.17099578837011736
"""How do I troubleshoot Wi-Fi connection issues with Cosori Smart Air Fryer?""","""If experiencing Wi-Fi issues, check if your router settings have changed or reconnect the air fryer using the VeSync app by navigating to 'Wi-Fi Settings.'"",","According to the provided context, to troubleshoot Wi-Fi connection issues with Cosori Smart Air Fryer, you should:

1. Check if your router settings have changed.
2. Reconnect the air fryer using the VeSync app by navigating to 'Wi-Fi Settings'.","Troubleshooting Wi-Fi connection issues with your Cosori Smart Air Fryer can be a bit challenging, but here's a step-by-step guide to help you identify and potentially resolve the problem:

**Step 1: Basic Checks**

1. Ensure that your Cosori Smart Air Fryer is properly connected to your Wi-Fi network.
2. Check if the air fryer is turned on and in standby mode (the LED lights should be steady blue).
3. Verify that the air fryer's app is up-to-date (available for both iOS and Android devices).

**Step 2: Network Configuration**

1. Restart your router to ensure it's fully powered off and then back on.
2. Check if you're using a reliable Wi-Fi network with a strong signal strength.
3. Try connecting the air fryer directly to your router using an Ethernet cable (if available).
4. If your router is old or has issues, consider upgrading to a newer model.

**Step 3: Air Fryer Placement and Obstacles**

1. Move the air fryer away from walls, furniture, and other obstructions that might be interfering with its Wi-Fi signal.
2. Ensure there are no physical barriers blocking the air fryer's antenna (usually located on top of the device).
3. Place the air fryer at least 6-8 inches away from your router to ensure optimal signal strength.

**Step 4: App Settings**

1. Open the Cosori Smart Air Fryer app and check for any updates.
2. Ensure that Wi-Fi is enabled and connected correctly in the app settings.
3. Check if you're using a stable internet connection with a minimum speed of 5 Mbps (recommended).
4. If your internet service provider has changed, try resetting your air fryer to its factory settings.

**Step 5: Reset Air Fryer**

1. Press and hold the ""Power"" button on the air fryer for about 10 seconds.
2. Release the button when you see the LED lights flashing (indicates reset process).
3. Wait for the air fryer to complete the reset cycle (about 30 seconds to 1 minute).

**Step 6: Update Air Fryer Firmware**

1. Open the Cosori Smart Air Fryer app and navigate to ""Settings"" > ""Firmware Updates"".
2. If an update is available, follow the on-screen instructions to download and install it.
3. After the firmware update, restart your air fryer.

**Step 7: Check for Interference**

1. Other electronic devices in your home may be causing interference with your Wi-Fi signal (e.g., cordless phones, microwaves, or baby monitors).
2. Try moving these devices away from your router and air fryer to minimize potential interference.
3. Consider using a Wi-Fi analyzer app to scan for nearby networks and identify any potential issues.

**Step 8: Contact Customer Support**

If none of the above steps resolve your Wi-Fi connection issues, contact Cosori's customer support directly:

1. Visit their official website (cosori.com) and click on ""Support"" > ""Contact Us"".
2. Fill out the online form with your issue details and wait for a response from their support team.
3. Be prepared to provide your air fryer's serial number, Wi-Fi network details, and any other relevant information.

Remember that if your air fryer is still under warranty or has recently been purchased, you may be able to get assistance from Cosori's customer support team.",0.8999152779579163,0.9468337893486023,0.9227785468101501,0.7058823529411764,0.6060606060606061,0.7058823529411764,0.34681785162531636,0.7182804499286495,0.7929598689079285,0.8780806660652161,0.8333523273468018,0.0793103448275862,0.027681660899653977,0.062068965517241385,0.0029162551467571086,0.15489406294004
"""How do I reset Cosori Smart Air Fryer?""","""To reset the air fryer, unplug it from the power source, wait 30 seconds, and plug it back in."",","To perform a factory reset for Cosori Smart Air Fryer, open the VeSync app, select the air fryer, and go to 'Device Settings' to initiate the reset.","Resetting your Cosori Smart Air Fryer can be a bit tricky, but it's a relatively simple process. Here's a step-by-step guide to help you reset your Cosori Smart Air Fryer:

**Method 1: Reset via App**

1. Open the Cosori Smart Home app on your smartphone or tablet.
2. Ensure that your air fryer is connected to the same Wi-Fi network as your device.
3. Tap on the ""Air Frying"" icon in the top navigation bar, and then tap on the three dots (...) at the top right corner of the screen.
4. Scroll down to the ""Reset"" option and select it.
5. Choose whether you want to reset the air fryer to its factory settings or just clear the cooking history.

**Method 2: Reset via Control Panel**

1. Locate the power button on your Cosori Smart Air Fryer, usually at the top right corner of the device.
2. Press and hold the power button for 10-15 seconds until the air fryer turns off automatically.
3. Release the power button and wait for a few seconds.
4. The air fryer will start to reset itself. You'll hear a series of beeps or see an LED light flashing on the control panel.
5. Once the resetting process is complete, the air fryer will automatically turn back on.

**Method 3: Reset via Device Settings**

1. Locate the reset button on your Cosori Smart Air Fryer, usually located at the bottom of the device.
2. Press and hold the reset button for 10-15 seconds until the air fryer turns off automatically.
3. Release the reset button and wait for a few seconds.
4. The air fryer will start to reset itself. You'll hear a series of beeps or see an LED light flashing on the control panel.
5. Once the resetting process is complete, the air fryer will automatically turn back on.

**Additional Tips:**

* Make sure your air fryer is unplugged from the power outlet before attempting to reset it.
* If you're having trouble resetting your air fryer, try restarting it by unplugging it and plugging it back in after a few seconds.
* After resetting your air fryer, re-pair it with your smartphone or tablet using the Cosori Smart Home app.

By following these steps, you should be able to successfully reset your Cosori Smart Air Fryer. If you have any further questions or concerns, feel free to ask!",0.8732494115829468,0.8666260242462158,0.8699251413345337,0.30434782608695654,0.09090909090909093,0.2608695652173913,0.04108404733153058,0.25813692480359146,0.7903238534927368,0.8898969888687134,0.8371599316596985,0.08018867924528301,0.05213270142180095,0.07075471698113207,0.004913027080085059,0.1475467164018507
"""How can I control power settings for Cosori Smart Air Fryer?""","""Use the VeSync app to turn the air fryer on or off remotely by selecting the device and tapping the power icon."",","You can control power settings for Cosori Smart Air Fryer by using the VeSync app. To do this, select your air fryer in the app and tap the power icon.","The Cosori Smart Air Fryer is a popular and feature-rich kitchen appliance that allows you to control various settings to achieve perfect results. Controlling the power settings on your Cosori Smart Air Fryer can be done through its mobile app, and here's a step-by-step guide to help you do so:

**Method 1: Using the Mobile App**

1. Download and install the Cosori Smart Home app from the App Store (for iOS devices) or Google Play Store (for Android devices).
2. Open the app and navigate to the ""Fryer"" section.
3. Select your Cosori Smart Air Fryer model from the list of available devices.
4. Tap on the ""Settings"" icon (usually represented by a gear or cog symbol).
5. Scroll down to the ""Power Settings"" section.
6. Adjust the power settings as desired:
	* Choose between ""Auto"", ""Manual"", and ""Energy Saver"" modes.
	* Set the maximum temperature and cooking time for your recipe.
7. Tap on the ""Save Changes"" button to apply your new power settings.

**Method 2: Using the Fryer's Control Panel**

1. Locate the control panel on your Cosori Smart Air Fryer, which typically includes a display screen, buttons, and sometimes a touchscreen interface.
2. Press the ""Power"" or ""Settings"" button to access the fryer's menu system.
3. Use the up/down navigation buttons to scroll through the available settings.
4. Select the power settings you want to adjust:
	* Choose between ""Auto"", ""Manual"", and ""Energy Saver"" modes.
	* Adjust the maximum temperature and cooking time for your recipe.
5. Press the ""OK"" or ""Save"" button to apply your new power settings.

**Additional Tips:**

1. Make sure your Cosori Smart Air Fryer is connected to Wi-Fi before attempting to adjust the power settings through the mobile app or control panel.
2. Check the user manual for specific instructions on how to access and adjust power settings, as this may vary depending on your model.
3. Be aware that some features, such as energy-saving modes, might only be available when you're connected to Wi-Fi or have a compatible smartphone.
4. Keep in mind that different models of Cosori Smart Air Fryers might have varying levels of compatibility with the mobile app and control panel.

By following these steps, you should be able to control your power settings on your Cosori Smart Air Fryer effectively, ensuring optimal performance and delicious results every time!",0.9232268333435059,0.9219696521759033,0.9225978255271912,0.576923076923077,0.36000000000000004,0.5,0.02598783206414603,0.47557873974878034,0.785920262336731,0.8506374359130859,0.8169992566108704,0.08571428571428573,0.019138755980861243,0.06666666666666667,0.0014785720709235407,0.15973180178268256
"""How do I schedule maintenance reminders for Cosori Smart Air Fryer?""","""Set maintenance reminders in the VeSync app by selecting your air fryer and navigating to 'Reminders' to schedule regular cleaning."",","According to the context, to schedule maintenance reminders for Cosori Smart Air Fryer, you need to:

""Set maintenance reminders in the VeSync app by selecting your air fryer and navigating to 'Reminders' to schedule regular cleaning.""","Scheduling maintenance reminders for your Cosori Smart Air Fryer can help ensure that it runs efficiently and effectively. Here's a step-by-step guide on how to do so:

**Using the Cosori Smart App:**

1. Open the Cosori Smart App on your smartphone or tablet.
2. Tap on the ""Settings"" icon (usually represented by a gear or cog) at the bottom of the screen.
3. Select ""Maintenance"" from the settings menu.
4. Tap on ""Schedule Maintenance Reminders.""
5. Choose the frequency and date for the reminder, such as monthly or quarterly.
6. Set a notification time for the reminder, so you receive a notification when it's time to perform maintenance.
7. You can also choose to set reminders based on your usage habits, such as after each use.

**Using the Cosori Smart Air Fryer's Built-in Features:**

1. Press and hold the ""+"" button until the LCD display flashes ""M.""
2. Use the +/- buttons to select ""Maintenance"" from the menu.
3. Follow the on-screen instructions to schedule a maintenance reminder.

**Additional Tips:**

* Make sure your Cosori Smart Air Fryer is updated to the latest software version, as this may include new features and maintenance reminders.
* Regularly clean and descale your air fryer to prevent buildup and maintain its performance.
* Refer to your user manual or manufacturer's website for specific maintenance recommendations and guidelines.

By following these steps, you can schedule maintenance reminders for your Cosori Smart Air Fryer and ensure it runs smoothly and efficiently.",0.9220514297485352,0.9663864970207214,0.9436984658241272,0.7142857142857143,0.7037037037037037,0.7142857142857143,0.5064748704364848,0.8795655073355904,0.8089494705200195,0.8695738911628723,0.8381668925285339,0.12639405204460968,0.03745318352059925,0.10408921933085502,0.00592364258049603,0.21272606050504214
"""How can I monitor energy usage of Cosori Smart Air Fryer?""","""Open the VeSync app, select the air fryer, and go to 'Energy Usage' to track power consumption."",","According to the context, you can monitor energy usage of Cosori Smart Air Fryer by:

""Open the VeSync App, select the air fryer, and go to 'Energy Usage' to track power consumption.""","The Cosori Smart Air Fryer is a popular kitchen appliance that allows you to monitor and control your air frying experience remotely through its companion app. Monitoring energy usage of your Cosori Smart Air Fryer is relatively straightforward, and here's how you can do it:

**Method 1: Using the Companion App**

1. Download and install the Cosori Smart Air Fryer app on your smartphone or tablet.
2. Connect your air fryer to your Wi-Fi network by following the in-app instructions.
3. Open the app and navigate to the ""Settings"" section.
4. Look for the ""Energy Usage"" or ""Power Consumption"" option, which might be listed under ""Device Settings"" or ""Monitor"".
5. Once you've located it, tap on it to view your energy usage data, including the current power consumption and estimated daily energy cost.

**Method 2: Using the Air Fryer's LCD Display**

1. Press the ""Menu"" button on your Cosori Smart Air Fryer to access its settings.
2. Navigate to the ""Energy"" or ""Power"" option using the ""+"" and ""-"" buttons.
3. The air fryer will display a graph showing your energy usage over time, allowing you to track your consumption patterns.

**Method 3: Using the Energy Monitor**

If you have purchased an energy monitor specifically designed for your Cosori Smart Air Fryer, follow the manufacturer's instructions to connect it to your air fryer. The energy monitor will provide real-time readings of your energy usage and help you monitor your consumption more accurately.

**Tips and Tricks**

* Make sure your air fryer is properly plugged in and turned on before monitoring its energy usage.
* Regularly clean your air fryer's filters and grates to ensure optimal performance and minimize energy waste.
* Be mindful of the cooking time, temperature, and capacity to optimize your energy usage. Longer cooking times or higher temperatures can increase energy consumption.
* Consider using energy-efficient settings, such as the ""Energy Saver"" mode on some models, to reduce your energy usage.

By following these methods and tips, you'll be able to effectively monitor your Cosori Smart Air Fryer's energy usage and make informed decisions about your cooking habits.",0.9206341505050659,0.967728316783905,0.9435940384864807,0.6938775510204082,0.6808510638297872,0.6938775510204082,0.3867316537771211,0.8647592905405406,0.8025928735733032,0.8700487613677979,0.8349605798721313,0.07506702412868634,0.03234501347708895,0.064343163538874,0.0015216947379394336,0.09920634920634923
